Protection,Tag,Health,Secondary,Tertiary,Quaternary,Length.cm,Width.cm,Area.cm2,Year,Notes,Population,Monitor,x,y
Rebar,18,5,,,,,,,2012-2013,,Historic,,-119.1804738,34.99280582
Rebar,25,4,,,,,,,2012-2013,,Historic,,-119.1804595,34.99286199
Rebar,31,5,,,,,,,2012-2013,,Historic,,-119.0876535,35.01930319
Rebar,32,4,,,,,,,2012-2013,,Historic,,-119.0874761,35.01937603
Rebar,34,4,,,,,,,2012-2013,,Historic,,-119.087464,35.01949329
Rebar,64,5,,,,,,,2012-2013,,Historic,,-119.0870395,35.0195156
Rebar,66,5,,,,,,,2012-2013,,Historic,,-119.0870981,35.01949645
Rebar,67,5,,,,,,,2012-2013,,Historic,,-119.0873826,35.01954508
Rebar,69,4,,,,,,,2012-2013,,Historic,,-119.0871201,35.01949928
Rebar,70,4,,,,,,,2012-2013,,Historic,,-119.087185,35.01956919
Rebar,71,4,,,,,,,2012-2013,,Historic,,-119.0871834,35.01951244
Rebar,72,4,,,,,,,2012-2013,,Historic,,-119.0871402,35.01956864
Rebar,73,5,,,,,,,2012-2013,,Historic,,-119.0870909,35.01954009
Rebar,78,4,,,,,,,2012-2013,,Historic,,-119.0868111,35.01914963
Rebar,79,5,,,,,,,2012-2013,,Historic,,-119.0868157,35.01908211
Rebar,80,5,,,,,,,2012-2013,,Historic,,-119.0868456,35.01885953
Rebar,84,4,,,,,,,2012-2013,,Historic,,-119.0866943,35.01915274
Rebar,114,0,,,,,,,2012-2013,H114,Historic,,-119.0860343,35.0189291
Rebar,115,0,,,,,,,2012-2013,H115,Historic,,-119.086192,35.01872074
Rebar,118,5,,,,,,,2012-2013,H118,Historic,,-119.0862334,35.01861148
Rebar,137,4,,,,,,,2012-2013,,Historic,,-119.0872238,35.01976734
Rebar,140,5,,,,,,,2012-2013,,Historic,,-119.0870959,35.01987053
Rebar,187,5,,,,,,,2012-2013,,Historic,,-119.0875721,35.01963877
Rebar,191,5,,,,,,,2012-2013,,Historic,,-119.0875688,35.01993192
Rebar,192,5,,,,,,,2012-2013,,Historic,,-119.087566,35.01994553
Rebar,193,5,,,,,,,2012-2013,,Historic,,-119.08725,35.0195626
Rebar,198,0,,,,,,,2012-2013,tag number  H198,Historic,,-119.0859016,35.01921787
Rebar,200,0,,,,,,,2012-2013,H200,Historic,,-119.0861927,35.01862492
Rebar,201,0,,,,,,,2012-2013,,Historic,,-119.0864281,35.01898346
Rebar,203,0,,,,,,,2012-2013,H203,Historic,,-119.0860077,35.01908895
Rebar,205,5,,,,,,,2012-2013,,Historic,,-119.0873645,35.01936766
Rebar,206,0,,,,,,,2012-2013,H206,Historic,1,-119.0861749,35.01898024
Rebar,209,0,,,,,,,2012-2013,tag number H209,Historic,1,-119.0861758,35.01941865
Rebar,300,5,,,,,,,2012-2013,,Historic,,-119.0873654,35.01941411
Rebar,479,5,,,,,,,2012-2013,,Historic,,-119.0876106,35.01880943
