OBJECTID,Date,Inspector,Protection,Population,Tag_number,Year,Health,Secondary Pads,Tertiary Pads,Quaternary Pads,Length,Width,Monitor,Notes,GlobalID,x,y
162,8/13/2018 16:01,Brooke Wainwright,Rocks and Rebar,Lobos,750,2014-2015,2,1,0,0,180,105,1, scattered pads alive,a3bbe531-c4e7-4066-a837-118544cdbf0a,-119.2192424,34.9955364
523,8/20/2018 16:00,Brooke Wainwright,Rebar,Muddy,717,2014-2015,5,19,12,0,117,90,1, 2 broken off growing pads,f902c02d-5b57-4162-bf90-58d8708d9b15,-119.2381075,35.02533416
5,7/12/2018 21:26,Daisy Carillo,Rebar,San Emigdio,774,2014-2015,4,22,9,,110,88,1,,2fa00209-6942-4d1f-bcbd-b5bdd4b0e9c0,-119.1803502,34.99297486
40,7/12/2018 19:53,Brooke Wainwright,Rebar,San Emigdio,608,2013-2014,5,21,18,5,95,88,1, evidence of f lowering  ,958ed1c6-09ea-48ef-84c9-f67c46fc4caa,-119.1800001,34.99232041
33,7/12/2018 20:18,Brooke Wainwright,Rebar,San Emigdio,770,2014-2015,5,35,18,0,80,92,1,rebar removed,930e0d79-86ed-4856-9d58-207716a59cf1,-119.18016,34.99272542
18,7/12/2018 21:06,Brooke Wainwright,Rocks,San Emigdio,772,2014-2015,5,23,26,8,100,65,1, evidence  of  flowering  ,e3a4ea67-7ee3-42e2-a7fd-55ee0e56ee48,-119.1804277,34.99263176
11,7/12/2018 21:39,Brooke Wainwright,Vaca,San Emigdio,0,2013-2014,5,13,10,7,73,82,1,"no tag, wire needs to be removed. removed wire 7/19/18",d9ff1e16-8d68-4a66-a952-802bf425599a,-119.1805746,34.99284745
31,7/12/2018 20:37,Brooke Wainwright,Rebar,San Emigdio,845,2015-2016,,15,14,3,81,70,1,,59d76ca7-a3e7-44fd-b0b5-c2946b1b0c33,-119.1804955,34.99245104
327,8/28/2018 20:31,Brooke Wainwright,Rocks and Rebar,Salt,687,2013-2014,5,16,16,11,75,74,1,,1d284cd0-2eb5-4d8b-8a1d-f550800ed3a8,-118.9722693,34.97685429
16,7/12/2018 21:00,Brooke Wainwright,Rocks,San Emigdio,612,2013-2014,5,24,32,1,87,60,1, evidence  of  flowering  ,21f31629-02e1-4346-a7b6-54902a545ea1,-119.1804477,34.99257664
298,8/28/2018 21:04,DC,Rocks and Rebar,Salt,675,2013-2014,5,16,9,2,75,67,1,,7f3397b5-ff7a-4d8d-ab74-17938bb525b8,-118.9723279,34.9762533
13,7/12/2018 20:49,Brooke Wainwright,Rebar,San Emigdio,771,2014-2015,5,20,12,3,70,70,1,rebar on side. evidence  of  flowering  ,c9649c36-d721-45c1-885b-ce95b8afa716,-119.1803223,34.99259819
22,7/12/2018 21:20,Brooke Wainwright,Rebar,San Emigdio,19,2012-2013,5,11,11,4,88,54,1,used to have double rebar,d825bc2a-5e6e-4714-b05b-93a731f44231,-119.1805398,34.99271446
330,8/28/2018 20:24,DC,Rocks and Rebar,Salt,686,2013-2014,5,27,7,2,73,64,1, 1 quaternary and 1 pentary ,0b1db97d-6b84-4d22-bda4-57c3465e480d,-118.9720987,34.97700961
98,7/21/2018 20:25,Brooke Wainwright,Rocks,San Emigdio,607,2013-2014,5,22,16,2,78,59,1,,dc653940-b230-499a-ae3c-fe47684e59a6,-119.185592,34.98329415
34,7/12/2018 20:12,Brooke Wainwright,Rocks,San Emigdio,610,2013-2014,5,30,14,0,81,55,1, evidence  of  flowering  ,5ae9b463-c900-45a6-b8c8-5c958448d4a2,-119.1803008,34.99242587
332,8/28/2018 20:08,Brooke Wainwright,Rocks and Rebar,Salt,800,2014-2015,5,16,11,2,74,60,1,,372f9955-3811-4a1a-ae5c-8454123afeac,-118.9718738,34.97710746
36,7/12/2018 20:05,Brooke Wainwright,None,San Emigdio,609,2013-2014,5,22,5,0,68,63,1, evidence  of  flowering. 2 new pads growing from the ground,487cc16f-af47-437b-88ee-a1e2132c3545,-119.1801574,34.99234528
39,7/12/2018 19:59,Brooke Wainwright,Rocks,San Emigdio,829,2015-2016,5,20,14,0,65,65,1,evidence  of  flowering   ,7e1a2a67-4223-4ee1-a7dd-1b7a4be4cc28,-119.1800483,34.99232904
59,7/31/2018 16:41,Brooke Wainwright,Rocks,San Emigdio,835,2015-2016,5,20,16,1,69,60,1,,0c4b98ed-6b73-491c-818b-77ff0accd2ae,-119.1727198,35.01064233
