transect,transect_start_lat,transect_start_lon,transect_end_lat,transect_end_lon,meter,cactus_id,species,distance_meters,x,y,z,primary,secondary,tertiary,quaternary,health_index,cactus_lat,cactus_lon,shrub_present,shrub_alive
1,34.78286,-115.66251,34.78203,-115.66281,0,1,Cylindropuntia anthrocarpa,1.67,0.8,0.7,1.1,7,4,4,4,5,34.78286,-115.66254,,
1,34.78286,-115.66251,34.78203,-115.66281,5,2,Cylindropuntia anthrocarpa,0,0.45,0.8,0.85,5,4,4,1,5,34.78283,-115.66254,,
1,34.78286,-115.66251,34.78203,-115.66281,10,3,Cylindropuntia anthrocarpa,0.2,0.25,0.3,0.45,3,4,0,0,5,34.78275,-115.66255,,
1,34.78286,-115.66251,34.78203,-115.66281,15,4,Cylindropuntia anthrocarpa,2.19,0.72,0.55,0.75,10,6,2,3,1,34.7827,-115.66258,,
1,34.78286,-115.66251,34.78203,-115.66281,20,5,Cylindropuntia anthrocarpa,0,2.1,1.5,1,6,3,3,3,1,34.78265,-115.66257,,
1,34.78286,-115.66251,34.78203,-115.66281,25,6,Cylindropuntia anthrocarpa,2.02,1,1.1,1.4,2,4,5,3,5,34.78262,-115.66257,,
1,34.78286,-115.66251,34.78203,-115.66281,30,7,Cylindropuntia anthrocarpa,2.61,0.4,0.3,1.1,1,2,2,2,5,34.78262,-115.66261,,
1,34.78286,-115.66251,34.78203,-115.66281,35,8,Cylindropuntia anthrocarpa,3.92,0.5,0.3,0.7,1,3,1,0,4,34.78255,-115.66258,,
1,34.78286,-115.66251,34.78203,-115.66281,40,9,Cylindropuntia anthrocarpa,1.96,0.1,0.1,0.5,1,3,1,0,4,34.78251,-115.66262,,
1,34.78286,-115.66251,34.78203,-115.66281,45,10,Cylindropuntia anthrocarpa,1.96,0.8,1.1,1.2,3,2,4,3,4,34.78244,-115.66262,,
1,34.78286,-115.66251,34.78203,-115.66281,50,11,Cylindropuntia anthrocarpa,2.27,0.15,0.2,0.6,1,2,2,0,4,34.78242,-115.66269,y,y
1,34.78286,-115.66251,34.78203,-115.66281,55,12,Cylindropuntia anthrocarpa,3.93,0.7,0.6,1,1,3,6,4,5,34.78238,-115.6627,y,y
1,34.78286,-115.66251,34.78203,-115.66281,60,13,Cylindropuntia anthrocarpa,1.56,0.4,0.45,0.55,1,2,3,1,5,34.78234,-115.66269,n,
1,34.78286,-115.66251,34.78203,-115.66281,65,14,Cylindropuntia anthrocarpa,1.18,0.15,0.1,0.5,1,2,2,0,3,34.78231,-115.66272,y,
1,34.78286,-115.66251,34.78203,-115.66281,70,15,Cylindropuntia anthrocarpa,2.09,1.1,1.4,1.3,3,5,5,2,3,34.78229,-115.66272,y,
1,34.78286,-115.66251,34.78203,-115.66281,75,16,Cylindropuntia anthrocarpa,1.74,1.9,1.3,1.1,3,4,3,7,3,34.78221,-115.662769,y,n
1,34.78286,-115.66251,34.78203,-115.66281,80,17,Cylindropuntia anthrocarpa,1.68,1,1.1,1.2,2,4,9,4,4,34.78217,-115.66274,y,y
1,34.78286,-115.66251,34.78203,-115.66281,85,18,Cylindropuntia anthrocarpa,2.62,0.2,0.3,0.8,1,6,2,0,5,34.78212,-115.66275,y,y
1,34.78286,-115.66251,34.78203,-115.66281,90,19,Cylindropuntia anthrocarpa,2.28,1.55,1.2,1.1,5,5,3,3,4,34.78211,-115.66277,y,y
1,34.78286,-115.66251,34.78203,-115.66281,95,20,Cylindropuntia anthrocarpa,2.17,0.15,0.1,0.4,1,2,0,0,5,34.78205,-115.66283,y,y
1,34.78286,-115.66251,34.78203,-115.66281,100,21,Cylindropuntia anthrocarpa,1.67,0.6,0.25,0.7,1,4,3,0,3,34.78203,-115.66281,y,y
2,34.78289,-115.66261,34.7821,-115.66297,0,22,Cylindropuntia anthrocarpa,3.53,1.4,1.3,1.2,2,14,2,2,4,34.78289,-115.66265,n,
2,34.78289,-115.66261,34.7821,-115.66297,5,23,Cylindropuntia anthrocarpa,0.27,0.2,0.2,1,1,3,2,1,5,34.78284,-115.66262,y,n
2,34.78289,-115.66261,34.7821,-115.66297,10,24,Cylindropuntia anthrocarpa,1.23,1.9,1.55,1.5,5,4,5,7,5,34.7828,-115.66284,y,n
2,34.78289,-115.66261,34.7821,-115.66297,15,25,Cylindropuntia anthrocarpa,1.81,0.25,0.25,0.7,1,3,0,0,5,34.78278,-115.66265,y,y
2,34.78289,-115.66261,34.7821,-115.66297,20,26,Cylindropuntia anthrocarpa,0.83,1.65,1.5,1.6,4,4,3,7,3,34.78273,-115.66269,y,n
2,34.78289,-115.66261,34.7821,-115.66297,25,27,Cylindropuntia anthrocarpa,2.24,0.2,0.4,0.7,1,2,3,0,5,34.78272,-115.66268,y,y
2,34.78289,-115.66261,34.7821,-115.66297,30,28,Cylindropuntia anthrocarpa,1.02,0.4,0.5,0.7,3,4,3,2,4,34.78264,-115.66273,y,y
2,34.78289,-115.66261,34.7821,-115.66297,35,29,Cylindropuntia anthrocarpa,1.43,0.55,0.55,0.9,2,3,2,1,5,34.78262,-115.66274,y,y
