transect,transect_start_lat,transect_start_lon,transect_end_lat,transect_end_lon,meter,cactus_id,species,distance_meters,x,y,z,primary,secondary,tertiary,quaternary,health_index,cactus_lat,cactus_lon,shrub_present,shrub_alive
1,34.78407,-115.66013,check,check,0,1,Cylindropuntia echinocarpa,0.59,0.17,0.15,0.35,2,2,4,12,5,34.7828,-115.66255,n,
1,34.78407,-115.66013,check,check,5,2,Cylindropuntia echinocarpa,2.32,0.57,0.54,0.44,2,4,5,18,4,34.78278,-115.66254,n,
1,34.78407,-115.66013,check,check,10,3,Cylindropuntia echinocarpa,6.27,0.17,0.24,0.66,1,2,2,6,4,34.78277,-115.6626,y,y
1,34.78407,-115.66013,check,check,15,no cacti,,,,,,,,,,,,,,
1,34.78407,-115.66013,check,check,20,4,Cylindropuntia echinocarpa,7.82,0.59,0.39,0.63,3,2,3,6,3,34.78265,-115.66269,y,y
1,34.78407,-115.66013,check,check,25,5,Cylindropuntia echinocarpa,5.7,0.47,0.61,0.59,2,3,2,24,2,34.78259,-115.66267,y,n
1,34.78407,-115.66013,check,check,30,6,Cylindropuntia echinocarpa,8.46,0.43,0.36,0.7,1,3,3,6,4,34.78251,-115.6627,y,n
1,34.78407,-115.66013,check,check,35,7,Cylindropuntia echinocarpa,4.61,0.42,0.45,0.8,1,3,4,10,4,34.78248,-115.66267,y,y
1,34.78407,-115.66013,check,check,40,8,Cylindropuntia echinocarpa,4.45,1.14,0.74,0.75,2,2,4,11,2,34.78246,-115.66259,n,
1,34.78407,-115.66013,check,check,45,no cacti,,,,,,,,,,,,,,
1,34.78407,-115.66013,check,check,50,no cacti,,,,,,,,,,,,,,
1,34.78407,-115.66013,check,check,55,9,Cylindropuntia echinocarpa,8,0.73,0.67,0.75,3,4,4,5,4,34.78229,-115.66267,y,n
1,34.78407,-115.66013,check,check,60,10,Cylindropuntia echinocarpa,5.78,0.47,0.41,0.57,2,3,3,5,2,34.78228,-115.66277,y,n
1,34.78407,-115.66013,check,check,65,no cacti,,,,,,,,,,,,,,
1,34.78407,-115.66013,check,check,70,no cacti,,,,,,,,,,,,,,
1,34.78407,-115.66013,check,check,75,no cacti,,,,,,,,,,,,,,
1,34.78407,-115.66013,check,check,80,11,Cylindropuntia echinocarpa,7.62,0.44,0.36,0.67,2,3,3,6,3,34.78209,-115.6627,n,
1,34.78407,-115.66013,check,check,85,12,Cylindropuntia echinocarpa,7.48,0.57,0.64,0.66,3,2,3,10,2,34.78207,-115.66283,n,
1,34.78407,-115.66013,check,check,90,13,Cylindropuntia echinocarpa,2.25,0.99,0.39,0.77,2,2,2,2,1,34.782,-115.66283,y,n
1,34.78407,-115.66013,check,check,95,14,Cylindropuntia echinocarpa,2.04,0.29,0.32,0.49,1,3,2,5,5,34.78199,-115.66283,y,y
1,34.78407,-115.66013,check,check,100,15,Cylindropuntia echinocarpa,0.84,0.29,0.36,0.44,3,2,3,9,3,34.78193,-115.66285,n,
2,34.78287,-115.66257,34.78202,115.66295,0,no cacti,,,,,,,,,,,,,,
2,34.78287,-115.66257,34.78202,115.66295,5,no cacti,,,,,,,,,,,,,,
2,34.78287,-115.66257,34.78202,115.66295,10,no cacti,,,,,,,,,,,,,,
2,34.78287,-115.66257,34.78202,115.66295,15,16,Cylindropuntia echinocarpa,2.04,0.3,0.22,0.37,2,2,3,4,5,34.78275,-115.66267,n,
2,34.78287,-115.66257,34.78202,115.66295,20,17,Cylindropuntia echinocarpa,4.28,0.36,0.43,0.38,2,3,4,5,5,34.7827,-115.6627,n,
2,34.78287,-115.66257,34.78202,115.66295,25,18,Cylindropuntia echinocarpa,3.23,0.53,0.42,0.65,2,2,2,2,1,34.78268,-115.66267,y,y
2,34.78287,-115.66257,34.78202,115.66295,30,19,Cylindropuntia echinocarpa,3.89,0.14,0.12,0.39,1,1,2,3,5,34.78262,-115.66267,y,n
2,34.78287,-115.66257,34.78202,115.66295,35,20,Cylindropuntia echinocarpa,5.9,0.38,0.35,0.68,1,2,3,7,4,34.78252,-115.66282,y,n
2,34.78287,-115.66257,34.78202,115.66295,40,no cacti,,,,,,,,,,,,,,
2,34.78287,-115.66257,34.78202,115.66295,45,no cacti,,,,,,,,,,,,,,
