cactus.id,tag,fruit.id,fruit.weight,fruit.x,fruit.y,fruit.z,color,dessication,seeds
,309,558,7.7,20,20,20,grey,dessicated,
,356,306,14.49,25,25,40,brown,not dessicated,
,397,50,13.65,20,20,40,yellow,not dessicated,
,382,12,12.27,20,20,45,green,not dessicated,
,393,75,11.05,20,20,30,yellow,not dessicated,
,393,71,10.86,20,20,30,yellow brown,not dessicated,
,385,33,10.78,25,25,30,green yellow,not dessicated,
,397,46,10.45,25,20,35,yellow,not dessicated,
,393,76,10.14,20,20,30,yellow green,not dessicated,
,345,392,10,20,20,30,brown,not dessicated,
,345,394,9.66,20,20,30,brown,not dessicated,
,385,35,9.59,25,25,30,green,not dessicated,
,385,34,9.55,25,25,35,green,not dessicated,
,345,396,9.55,25,25,25,brown,not dessicated,
,395,21,9.54,25,25,25,black,dessicated,
,356,309,9.47,20,20,30,brown,not dessicated,
,356,312,9.42,25,20,25,brown,not dessicated,
,397,41,9.2,20,20,25,yellow brown,not dessicated,
,382,15,9.16,20,25,30,green,not dessicated,
,395,28,9.11,25,25,25,black,dessicated,
,395,27,9.09,25,25,25,black,dessicated,
,345,397,8.94,20,20,35,yellow green,not dessicated,
,345,395,8.91,20,20,25,brown,not dessicated,
,393,74,8.76,20,20,30,yellow,not dessicated,
,393,80,8.69,20,20,30,yellow brown,not dessicated,
,399,106,8.68,20,20,30,yellow brown,not dessicated,
,393,73,8.48,20,20,30,yellow,not dessicated,
,395,26,8.45,25,20,30,black,dessicated,
,393,79,8.3,20,20,25,yellow green,not dessicated,
,393,78,8.19,20,20,25,yellow,not dessicated,
,317,601,8.19,20,20,20,yellow green,not dessicated,
,355,408,8.17,20,20,35,black,dessicated,
,395,22,8.14,25,25,25,black,dessicated,
,399,107,8.07,20,20,20,brown,not dessicated,
,382,11,8,20,20,25,yellow,not dessicated,
,382,14,7.96,20,25,30,yellow brown,not dessicated,
,380,116,7.93,20,20,25,green brown,not dessicated,
,380,111,7.91,25,25,25,green brown,not dessicated,
,395,25,7.84,25,25,30,black,dessicated,
,388,8,7.81,25,20,25,grey,dessicated,
,399,101,7.8,20,20,25,black,dessicated,
,365,265,7.77,20,15,30,yellow brown,not dessicated,
,399,108,7.72,20,20,25,yellow,not dessicated,
,380,112,7.71,20,20,25,yellow green,not dessicated,
,399,102,7.7,20,20,30,yellow,not dessicated,
,365,258,7.7,20,20,25,brown,not dessicated,
,399,104,7.69,25,20,30,yellow green,not dessicated,
,377,148,7.55,20,20,40,brown,not dessicated,
,399,109,7.45,20,20,25,yellow,not dessicated,
,345,390,7.44,20,20,30,brown,not dessicated,
,382,17,7.36,25,25,25,green,not dessicated,
,393,72,7.33,20,20,25,yellow,not dessicated,
,400,89,7.31,20,20,25,grey,dessicated,
,385,31,7.29,25,25,25,yellow,not dessicated,
,377,142,7.29,20,20,30,brown,not dessicated,
,365,260,7.27,20,20,25,yellow,not dessicated,
,317,602,7.26,20,20,20,yellow green,not dessicated,
,345,393,7.2,20,20,25,brown,not dessicated,
,356,311,7.16,20,20,25,grey,dessicated,
,342,415,7.11,20,20,30,brown,not dessicated,
,380,117,7.08,20,20,25,brown,not dessicated,
,373,150,7.06,20,20,20,yellow brown,not dessicated,
,365,263,7.01,15,15,30,yellow,not dessicated,
,369,268,7,20,20,25,yellow,not dessicated,
,395,24,6.97,20,20,30,black,dessicated,
,326,497,6.96,20,20,20,grey,dessicated,
,395,30,6.95,25,20,25,black,dessicated,
,397,43,6.95,20,20,30,yellow,not dessicated,
,373,157,6.95,20,20,30,brown,not dessicated,
,364,232,6.95,20,20,25,grey,dessicated,
,364,233,6.95,25,20,25,grey green,dessicated,
,317,600,6.95,25,25,25,yellow green,not dessicated,
,373,151,6.71,20,20,20,brown,not dessicated,
,380,114,6.68,20,20,20,yellow green,not dessicated,
,369,271,6.6,20,20,25,yellow,not dessicated,
,369,266,6.56,20,20,25,brown,not dessicated,
,321,450,6.49,20,20,25,brown,not dessicated,
,365,262,6.41,15,15,30,brown,not dessicated,
,395,23,6.37,25,20,20,black,dessicated,
,326,496,6.27,20,20,25,grey,dessicated,
,365,264,6.26,20,20,25,yellow,not dessicated,
,369,273,6.26,25,20,25,yellow brown,not dessicated,
,311,582,6.13,20,20,25,grey,dessicated,
,380,115,6.11,20,20,25,yellow green,not dessicated,
,399,103,6.05,20,20,20,yellow green,not dessicated,
,377,141,6.04,20,20,25,brown,not dessicated,
,397,44,6.03,20,20,25,yellow,not dessicated,
,377,143,6.01,20,20,25,brown,not dessicated,
,311,580,6.01,20,20,20,grey,dessicated,
,342,410,6,20,20,30,yellow brown,not dessicated,
,387,66,5.96,25,25,35,grey,dessicated,
,377,147,5.91,20,20,25,black,dessicated,
,356,310,5.91,25,20,30,grey,dessicated,
,355,401,5.84,20,20,25,grey,dessicated,
,369,267,5.79,20,20,25,yellow,not dessicated,
,379,121,5.78,20,20,25,brown,not dessicated,
,394,51,5.74,20,20,20,grey,dessicated,
,364,231,5.71,25,20,30,grey,dessicated,
,395,29,5.7,25,20,20,black,dessicated,
,309,557,5.7,20,20,30,grey,dessicated,
