cactus.id,tag,,lat,lon,x,y,z,volume,newgrowth,health,branches,transect,meter,distance,blooms,buds,fruits,nest,notes
1,400,,34.78159,-115.66252,53,49,52,135044,15,5,210,1,5,1,1,100,32,1,
2,399,,34.78162,-115.6625,71,60,55,234300,20,3,500,1,10,0,1,90,21,0,
3,398,,34.78164,-115.66244,20,13,23,5980,18,5,50,1,15,2,0,0,0,0,
4,397,,34.78157,-115.66238,120,103,85,1050600,100,4,1000,1,20,4,1,390,156,1,
5,396,,34.78162,-115.6623,9,5,26,1170,3,5,10,1,25,0,0,0,0,0,
6,395,,34.78164,-115.66223,82,63,4,20664,75,4,600,1,30,0,1,600,42,0,
7,394,,34.78164,-115.66218,70,57,54,215460,15,3,400,1,35,3,1,375,13,0,
8,393,,34.78165,-115.66212,53,43,61,139019,45,4,200,1,40,0,1,110,36,0,
9,392,,34.78159,-115.66207,20,19,28,10640,15,5,25,1,45,3,0,0,0,0,
10,391,,34.78161,-115.66212,28,25,46,32200,45,4,50,1,50,3,0,1,0,0,
11,390,,34.78156,-115.66202,90,77,59,408870,140,3,700,1,55,5,1,600,120,0,
12,389,,34.78167,-115.66198,26,22,21,12012,25,5,50,1,60,0,1,5,2,0,
13,388,,34.78164,-115.66196,37,28,30,31080,15,5,70,1,65,0,1,25,18,0,
14,387,,34.78159,-115.66194,40,26,25,26000,20,5,80,1,70,5,1,15,12,0,
15,386,,34.78162,-115.66191,30,29,36,31320,5,5,400,1,75,0,1,300,3,0,
16,385,,34.78166,-115.66187,40,34,33,44880,25,4,220,1,80,2,1,60,5,0,
17,384,,34.78162,-115.66185,27,14,30,11340,13,5,25,1,85,1,0,0,0,0,
18,383,,34.7816,-115.6618,28,25,25,17500,15,5,80,1,90,0,1,55,11,0,all fruit eaten did not weigh
19,382,,34.78165,-115.66171,91,77,55,385385,120,2,1400,1,95,0,1,200,150,0,
20,381,,34.78164,-115.66168,17,12,34,6936,15,5,30,1,100,0,1,0,0,0,
21,380,,34.78153,-115.66167,90,80,69,496800,130,4,1800,2,5,3,1,250,110,0,
22,379,,34.78149,-115.66171,50,48,45,108000,20,5,450,2,10,1,1,500,125,0,
23,378,,34.7815,-115.66177,45,42,49,92610,20,5,400,2,15,3,1,130,60,1,
24,377,,34.78147,-115.66179,54,47,47,119286,30,4,350,2,20,3,1,30,75,1,
25,376,,34.78152,-115.66187,41,28,40,45920,10,5,80,2,25,5,1,20,17,0,
26,375,,34.78149,-115.6619,22,11,20,4840,5,4,20,2,30,0,0,0,0,0,
27,374,,34.78146,-115.66195,45,41,47,86715,15,4,230,2,35,4,1,120,97,0,
28,373,,34.78149,-115.66198,64,60,63,241920,25,5,170,2,40,2,1,135,65,0,
29,372,,34.78149,-115.66199,51,52,55,145860,50,5,250,2,45,0,1,125,100,0,
30,371,,34.78149,-115.66199,46,47,40,86480,10,5,160,2,50,0,1,115,50,0,
31,370,,34.78146,-115.66206,67,67,65,291785,20,4,250,2,55,2,1,135,125,0,
32,369,,34.78146,-115.66216,121,104,68,855712,20,2,1200,2,60,1,1,200,105,0,
33,368,,34.7815,-115.66219,93,64,46,273792,70,1,750,2,65,0,1,110,33,0,
34,367,,34.7815,-115.66223,17,15,23,5865,15,5,25,2,70,0,1,1,1,0,
35,366,,34.78151,-115.66225,34,26,35,30940,20,5,60,2,75,0,1,15,9,0,
36,365,,34.78154,-115.66229,76,51,59,228684,15,5,450,2,80,4,1,100,150,0,
37,364,,34.7815,-115.66237,37,24,42,37296,1,5,80,2,85,0,1,40,26,0,
38,363,,34.78149,-115.66245,63,40,48,120960,30,5,350,2,90,0,1,125,55,0,
39,362,,34.78149,-115.66248,23,22,40,20240,25,5,50,2,95,1,0,0,0,0,
40,361,,34.78154,-115.6625,43,39,49,82173,45,5,170,2,100,2,1,20,13,0,
41,360,,34.7814,-115.66259,13,13,31,5239,2,5,15,3,5,2,0,0,0,0,
42,359,,34.78158,-115.66253,42,37,37,57498,40,5,200,3,10,5,1,30,30,0,double check coordinates in GPS
43,358,,34.78144,-115.66251,90,71,53,338670,10,4,650,3,15,0,1,500,140,0,
44,357,,34.78141,-115.66248,45,31,40,55800,15,5,250,3,20,2,1,220,57,0,
45,356,,34.78144,-115.66244,77,70,49,264110,20,5,1100,3,25,1,1,300,260,1,
46,355,,34.78145,-115.66235,41,34,45,62730,15,5,250,3,30,5,1,60,42,0,
47,354,,34.78136,-115.66232,71,57,54,218538,25,2,900,3,35,5,1,190,133,0,half of plant fallen over and dead did not count fleshless branches in measurements
48,353,,34.78133,-115.66225,34,29,34,33524,30,5,110,3,40,5,0,0,0,0,
49,352,,34.78136,-115.66223,15,9,25,3375,10,5,20,3,45,4,0,0,0,0,
50,351,,34.78134,-115.6622,25,18,29,13050,12,5,35,3,50,5,1,2,2,0,
51,350,,34.78136,-115.66216,82,79,59,382202,10,3,520,3,55,0,1,130,255,0,
52,349,,34.7813,-115.66215,48,32,46,70656,15,5,50,3,60,5,1,2,2,0,
53,345,,34.78134,-115.66209,51,36,57,104652,40,5,250,3,65,2,1,60,74,0,
54,344,,34.78133,-115.66201,57,47,52,139308,15,4,450,3,70,3,1,300,37,0,
55,343,,34.78138,-115.66196,34,29,47,46342,15,5,100,3,75,3,1,10,10,0,
56,342,,34.78134,-115.66193,52,40,44,91520,75,5,250,3,80,1,1,20,17,0,
57,341,,34.7813,-115.66187,72,71,46,235152,110,4,650,3,85,5,1,200,136,0,
58,340,,34.7813,-115.66187,58,46,53,141404,15,4,210,3,90,0,1,100,70,0,
59,339,,34.78136,-115.66178,11,10,29,3190,1,5,30,3,95,2,0,0,0,0,
60,338,,34.78134,-115.66168,48,47,52,117312,10,5,300,3,100,3,1,65,57,0,
61,337,,34.78128,-115.66262,31,29,36,32364,15,5,130,4,5,2,1,10,,0,
62,336,,34.78136,-115.66257,63,55,51,176715,55,5,400,4,10,5,1,75,,0,
63,335,,34.78129,-115.66248,30,25,37,27750,15,5,110,4,15,1,1,10,,0,
64,334,,34.78127,-115.66245,63,54,51,173502,40,5,800,4,20,0,1,370,,1,
65,333,,34.78122,-115.66238,63,63,56,222264,24,5,1100,4,25,0,1,500,,0,
67,332,,34.78128,-115.66232,83,58,45,216630,50,2,600,4,35,5,1,10,,0,
66,331,,34.78124,-115.66232,18,14,28,7056,15,5,60,4,30,2,0,0,,0,
68,330,,34.78129,-115.66224,9,5,23,1035,2,5,20,4,40,4,0,0,,0,
69,329,,34.78121,-115.66219,22,9,30,5940,4,5,30,4,45,0,0,0,,0,
70,328,,34.78124,-115.66216,98,78,58,443352,0,1,650,4,50,3,1,0,,1,perhaps dead or dying plant
71,327,,34.7812,-115.66211,25,6,30,4500,5,5,30,4,55,0,0,0,,0,
72,326,,34.7812,-115.66205,89,50,58,258100,20,3,540,4,60,3,1,110,,0,
73,325,,34.78122,-115.66202,79,72,63,358344,45,5,900,4,65,3,1,200,,1,
75,324,,34.78111,-115.6619,56,43,49,117992,35,5,350,4,75,5,1,240,,1,
74,323,,34.78117,-115.66196,43,34,34,49708,30,5,200,4,70,2,1,10,,0,
76,322,,34.78121,-115.6618,32,32,45,46080,5,5,260,4,80,5,1,80,,0,
77,321,,34.78122,-115.66178,47,45,43,90945,40,5,330,4,85,5,1,40,,0,
78,320,,34.78109,-115.6617,15,10,23,3450,8,5,15,4,90,4,0,0,,0,
79,319,,34.78111,-115.66167,72,57,41,168264,40,3,500,4,95,1,1,140,,0,
80,318,,34.78111,-115.66163,65,55,51,182325,20,5,520,4,100,0,1,80,,0,
81,317,,34.78116,-115.66267,37,33,45,54945,5,5,140,5,5,0,1,40,,0,
82,316,,34.78114,-115.66258,61,56,44,150304,35,5,150,5,10,1,1,25,,0,
83,315,,34.78113,-115.66251,17,11,25,4675,15,5,30,5,15,1,0,0,,0,
84,314,,34.78112,-115.66245,34,34,34,39304,20,5,100,5,20,0,1,20,,0,
85,313,,34.78103,-115.66241,47,47,47,103823,25,4,450,5,25,5,1,115,,0,
86,312,,34.78102,-115.66236,25,15,21,7875,10,4,25,5,30,3,0,0,,0,
87,311,,34.78107,-115.66231,78,60,57,266760,20,5,1000,5,35,0,1,170,,0,
88,310,,34.78111,-115.66221,115,107,66,812130,45,2,1100,5,40,5,1,230,,1,
89,309,,34.78104,-115.66231,63,49,48,148176,25,5,250,5,45,2,1,55,,0,
90,308,,34.781,-115.6621,66,58,57,218196,30,5,600,5,50,3,1,145,,1,
91,307,,34.78099,-115.66202,99,78,61,471042,40,5,900,5,55,0,1,600,,0,
92,306,,34.78094,-115.66196,41,30,33,40590,15,4,190,5,60,5,1,30,,0,
93,305,,34.78095,-115.66192,49,38,52,96824,15,5,450,5,65,0,1,200,,0,
94,304,,34.78094,-115.66189,32,30,36,34560,30,5,150,5,70,0,1,40,,0,
95,303,,34.78095,-115.66186,106,100,58,614800,25,3,1500,5,75,1,1,600,,0,
96,302,,34.78098,-115.66183,31,22,28,19096,20,5,60,5,80,4,1,1,,0,
97,301,,34.78097,-115.66181,79,47,64,237632,65,5,1200,5,85,2,0,250,,0,
98,300,,34.78097,-115.66172,45,25,40,45000,18,5,90,5,90,4,1,2,,0,
99,299,,34.78098,-115.66171,32,16,42,21504,5,4,90,5,95,4,1,5,,0,
100,298,,34.78094,-115.66168,61,55,47,157685,35,5,900,5,100,0,1,400,,0,
