"Plot Title: 20564174"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20564174, SEN S/N: 20564174)","Intensity, lum/ft² (LGR S/N: 20564174, SEN S/N: 20564174)","Coupler Attached (LGR S/N: 20564174)","Coupler Detached (LGR S/N: 20564174)","Host Connected (LGR S/N: 20564174)","Stopped (LGR S/N: 20564174)","End Of File (LGR S/N: 20564174)"
1,05/28/19 11:00:00 AM,76.181,2304.0,,,,,
2,05/28/19 11:10:00 AM,73.580,2432.0,,,,,
3,05/28/19 11:20:00 AM,74.964,2432.0,,,,,
4,05/28/19 11:30:00 AM,79.151,2432.0,,,,,
5,05/28/19 11:40:00 AM,77.225,2432.0,,,,,
6,05/28/19 11:50:00 AM,77.574,2304.0,,,,,
7,05/28/19 12:00:00 PM,74.964,2304.0,,,,,
8,05/28/19 12:10:00 PM,75.484,2304.0,,,,,
9,05/28/19 12:20:00 PM,74.619,2176.0,,,,,
10,05/28/19 12:30:00 PM,75.312,2176.0,,,,,
11,05/28/19 12:40:00 PM,75.484,2176.0,,,,,
12,05/28/19 12:50:00 PM,77.050,2048.0,,,,,
13,05/28/19 01:00:00 PM,79.502,2048.0,,,,,
14,05/28/19 01:10:00 PM,77.400,2048.0,,,,,
15,05/28/19 01:20:00 PM,79.151,2176.0,,,,,
16,05/28/19 01:30:00 PM,79.326,2176.0,,,,,
17,05/28/19 01:40:00 PM,81.090,2048.0,,,,,
18,05/28/19 01:50:00 PM,79.502,2048.0,,,,,
19,05/28/19 02:00:00 PM,80.029,2048.0,,,,,
20,05/28/19 02:10:00 PM,77.923,1920.0,,,,,
21,05/28/19 02:20:00 PM,76.181,1856.0,,,,,
22,05/28/19 02:30:00 PM,79.151,1792.0,,,,,
23,05/28/19 02:40:00 PM,79.678,1728.0,,,,,
24,05/28/19 02:50:00 PM,76.703,1728.0,,,,,
25,05/28/19 03:00:00 PM,76.181,1728.0,,,,,
26,05/28/19 03:10:00 PM,76.354,2048.0,,,,,
27,05/28/19 03:20:00 PM,78.274,1792.0,,,,,
28,05/28/19 03:30:00 PM,78.975,1664.0,,,,,
29,05/28/19 03:40:00 PM,80.382,1600.0,,,,,
30,05/28/19 03:50:00 PM,80.735,1536.0,,,,,
31,05/28/19 04:00:00 PM,78.274,1536.0,,,,,
32,05/28/19 04:10:00 PM,79.151,1600.0,,,,,
33,05/28/19 04:20:00 PM,79.502,1536.0,,,,,
34,05/28/19 04:30:00 PM,80.559,2176.0,,,,,
35,05/28/19 04:40:00 PM,80.029,2688.0,,,,,
36,05/28/19 04:50:00 PM,77.749,1728.0,,,,,
37,05/28/19 05:00:00 PM,75.659,1536.0,,,,,
38,05/28/19 05:10:00 PM,75.139,1536.0,,,,,
39,05/28/19 05:20:00 PM,77.225,1408.0,,,,,
40,05/28/19 05:30:00 PM,77.574,1344.0,,,,,
41,05/28/19 05:40:00 PM,77.400,1344.0,,,,,
42,05/28/19 05:50:00 PM,75.484,1280.0,,,,,
43,05/28/19 06:00:00 PM,76.006,1280.0,,,,,
44,05/28/19 06:10:00 PM,73.926,576.0,,,,,
45,05/28/19 06:20:00 PM,68.763,99.0,,,,,
46,05/28/19 06:30:00 PM,67.221,92.0,,,,,
47,05/28/19 06:40:00 PM,66.537,102.0,,,,,
48,05/28/19 06:50:00 PM,65.851,83.0,,,,,
49,05/28/19 07:00:00 PM,65.680,91.0,,,,,
50,05/28/19 07:10:00 PM,65.509,90.0,,,,,
51,05/28/19 07:20:00 PM,65.509,97.0,,,,,
52,05/28/19 07:30:00 PM,65.509,94.0,,,,,
53,05/28/19 07:40:00 PM,64.825,72.0,,,,,
54,05/28/19 07:50:00 PM,63.797,39.0,,,,,
55,05/28/19 08:00:00 PM,63.282,4.0,,,,,
56,05/28/19 08:10:00 PM,62.425,0.0,,,,,
57,05/28/19 08:20:00 PM,62.083,0.0,,,,,
58,05/28/19 08:30:00 PM,61.054,0.0,,,,,
59,05/28/19 08:40:00 PM,60.368,0.0,,,,,
60,05/28/19 08:50:00 PM,59.337,0.0,,,,,
61,05/28/19 09:00:00 PM,59.164,0.0,,,,,
62,05/28/19 09:10:00 PM,57.958,0.0,,,,,
63,05/28/19 09:20:00 PM,56.923,0.0,,,,,
64,05/28/19 09:30:00 PM,56.230,0.0,,,,,
65,05/28/19 09:40:00 PM,56.577,0.0,,,,,
66,05/28/19 09:50:00 PM,57.614,0.0,,,,,
67,05/28/19 10:00:00 PM,57.614,0.0,,,,,
68,05/28/19 10:10:00 PM,57.441,0.0,,,,,
69,05/28/19 10:20:00 PM,57.785,0.0,,,,,
70,05/28/19 10:30:00 PM,58.476,0.0,,,,,
71,05/28/19 10:40:00 PM,58.647,0.0,,,,,
72,05/28/19 10:50:00 PM,58.303,0.0,,,,,
73,05/28/19 11:00:00 PM,58.303,0.0,,,,,
74,05/28/19 11:10:00 PM,57.785,0.0,,,,,
75,05/28/19 11:20:00 PM,57.958,0.0,,,,,
76,05/28/19 11:30:00 PM,56.923,0.0,,,,,
77,05/28/19 11:40:00 PM,56.404,0.0,,,,,
78,05/28/19 11:50:00 PM,57.614,0.0,,,,,
79,05/29/19 12:00:00 AM,57.614,0.0,,,,,
80,05/29/19 12:10:00 AM,56.230,0.0,,,,,
81,05/29/19 12:20:00 AM,57.268,0.0,,,,,
82,05/29/19 12:30:00 AM,57.096,0.0,,,,,
83,05/29/19 12:40:00 AM,56.404,0.0,,,,,
84,05/29/19 12:50:00 AM,55.711,0.0,,,,,
85,05/29/19 01:00:00 AM,55.537,0.0,,,,,
86,05/29/19 01:10:00 AM,54.322,0.0,,,,,
87,05/29/19 01:20:00 AM,54.495,0.0,,,,,
88,05/29/19 01:30:00 AM,57.096,0.0,,,,,
89,05/29/19 01:40:00 AM,56.057,0.0,,,,,
90,05/29/19 01:50:00 AM,56.230,0.0,,,,,
91,05/29/19 02:00:00 AM,55.364,0.0,,,,,
92,05/29/19 02:10:00 AM,56.057,0.0,,,,,
93,05/29/19 02:20:00 AM,54.322,0.0,,,,,
94,05/29/19 02:30:00 AM,55.189,0.0,,,,,
95,05/29/19 02:40:00 AM,56.577,0.0,,,,,
96,05/29/19 02:50:00 AM,56.404,0.0,,,,,
97,05/29/19 03:00:00 AM,56.750,0.0,,,,,
98,05/29/19 03:10:00 AM,56.577,0.0,,,,,
99,05/29/19 03:20:00 AM,56.230,0.0,,,,,
100,05/29/19 03:30:00 AM,56.577,0.0,,,,,
101,05/29/19 03:40:00 AM,56.577,0.0,,,,,
102,05/29/19 03:50:00 AM,56.577,0.0,,,,,
103,05/29/19 04:00:00 AM,56.923,0.0,,,,,
104,05/29/19 04:10:00 AM,56.750,0.0,,,,,
105,05/29/19 04:20:00 AM,56.750,0.0,,,,,
106,05/29/19 04:30:00 AM,56.923,0.0,,,,,
107,05/29/19 04:40:00 AM,56.750,0.0,,,,,
108,05/29/19 04:50:00 AM,56.750,0.0,,,,,
109,05/29/19 05:00:00 AM,56.923,0.0,,,,,
110,05/29/19 05:10:00 AM,56.923,0.0,,,,,
111,05/29/19 05:20:00 AM,56.923,4.0,,,,,
112,05/29/19 05:30:00 AM,57.096,32.0,,,,,
113,05/29/19 05:40:00 AM,57.096,58.0,,,,,
114,05/29/19 05:50:00 AM,57.785,85.0,,,,,
115,05/29/19 06:00:00 AM,57.614,120.0,,,,,
116,05/29/19 06:10:00 AM,57.958,144.0,,,,,
117,05/29/19 06:20:00 AM,58.131,208.0,,,,,
118,05/29/19 06:30:00 AM,59.680,304.0,,,,,
119,05/29/19 06:40:00 AM,60.539,336.0,,,,,
120,05/29/19 06:50:00 AM,61.398,432.0,,,,,
121,05/29/19 07:00:00 AM,63.111,480.0,,,,,
122,05/29/19 07:10:00 AM,64.652,512.0,,,,,
123,05/29/19 07:20:00 AM,66.022,608.0,,,,,
124,05/29/19 07:30:00 AM,67.564,768.0,,,,,
125,05/29/19 07:40:00 AM,69.793,1024.0,,,,,
126,05/29/19 07:50:00 AM,78.098,1664.0,,,,,
127,05/29/19 08:00:00 AM,79.502,1920.0,,,,,
128,05/29/19 08:10:00 AM,85.554,2816.0,,,,,
129,05/29/19 08:20:00 AM,84.295,2176.0,,,,,
130,05/29/19 08:30:00 AM,84.295,3328.0,,,,,
131,05/29/19 08:40:00 AM,91.053,3328.0,,,,,
132,05/29/19 08:50:00 AM,99.885,2944.0,,,,,
133,05/29/19 09:00:00 AM,92.926,1536.0,,,,,
134,05/29/19 09:10:00 AM,89.017,2432.0,,,,,
135,05/29/19 09:20:00 AM,87.004,2048.0,,,,,
136,05/29/19 09:30:00 AM,92.737,2816.0,,,,,
137,05/29/19 09:40:00 AM,94.062,2816.0,,,,,
138,05/29/19 09:50:00 AM,86.823,1920.0,,,,,
139,05/29/19 10:00:00 AM,83.757,2304.0,,,,,
140,05/29/19 10:10:00 AM,84.834,2560.0,,,,,
141,05/29/19 10:20:00 AM,85.374,2560.0,,,,,
142,05/29/19 10:30:00 AM,85.374,2304.0,,,,,
143,05/29/19 10:40:00 AM,83.043,1152.0,,,,,
144,05/29/19 10:50:00 AM,85.194,2688.0,,,,,
