"Plot Title: 20597560"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20597560, SEN S/N: 20597560)","Intensity, lum/ft² (LGR S/N: 20597560, SEN S/N: 20597560)","Coupler Attached (LGR S/N: 20597560)","Host Connected (LGR S/N: 20597560)","Coupler Detached (LGR S/N: 20597560)","Stopped (LGR S/N: 20597560)","End Of File (LGR S/N: 20597560)"
1,05/15/19 09:00:00 AM,82.686,3456.0,,,,,
2,05/15/19 09:10:00 AM,87.552,3712.0,,,,,
3,05/15/19 09:20:00 AM,87.368,3456.0,,,,,
4,05/15/19 09:30:00 AM,88.650,2688.0,,,,,
5,05/15/19 09:40:00 AM,93.493,3968.0,,,,,
6,05/15/19 09:50:00 AM,100.083,11264.0,,,,,
7,05/15/19 10:00:00 AM,108.536,14336.0,,,,,
8,05/15/19 10:10:00 AM,111.360,12288.0,,,,,
9,05/15/19 10:20:00 AM,111.360,12288.0,,,,,
10,05/15/19 10:30:00 AM,108.964,4864.0,,,,,
11,05/15/19 10:40:00 AM,114.039,14336.0,,,,,
12,05/15/19 10:50:00 AM,117.028,15360.0,,,,,
13,05/15/19 11:00:00 AM,121.093,9728.0,,,,,
14,05/15/19 11:10:00 AM,124.585,20480.0,,,,,
15,05/15/19 11:20:00 AM,129.571,20480.0,,,,,
16,05/15/19 11:30:00 AM,118.679,3328.0,,,,,
17,05/15/19 11:40:00 AM,116.100,19456.0,,,,,
18,05/15/19 11:50:00 AM,130.113,19456.0,,,,,
19,05/15/19 12:00:00 PM,127.434,19456.0,,,,,
20,05/15/19 12:10:00 PM,114.949,4352.0,,,,,
21,05/15/19 12:20:00 PM,111.139,6144.0,,,,,
22,05/15/19 12:30:00 PM,103.923,3712.0,,,,,
23,05/15/19 12:40:00 PM,104.540,5120.0,,,,,
24,05/15/19 12:50:00 PM,104.954,7168.0,,,,,
25,05/15/19 01:00:00 PM,105.994,8192.0,,,,,
26,05/15/19 01:10:00 PM,108.322,15360.0,,,,,
27,05/15/19 01:20:00 PM,109.612,5632.0,,,,,
28,05/15/19 01:30:00 PM,100.483,5632.0,,,,,
29,05/15/19 01:40:00 PM,98.699,9216.0,,,,,
30,05/15/19 01:50:00 PM,109.612,13312.0,,,,,
31,05/15/19 02:00:00 PM,99.291,7168.0,,,,,
32,05/15/19 02:10:00 PM,96.168,4352.0,,,,,
33,05/15/19 02:20:00 PM,109.612,8192.0,,,,,
34,05/15/19 02:30:00 PM,105.786,7936.0,,,,,
35,05/15/19 02:40:00 PM,101.484,3968.0,,,,,
36,05/15/19 02:50:00 PM,99.687,13824.0,,,,,
37,05/15/19 03:00:00 PM,103.923,17408.0,,,,,
38,05/15/19 03:10:00 PM,104.333,16384.0,,,,,
39,05/15/19 03:20:00 PM,99.687,4096.0,,,,,
40,05/15/19 03:30:00 PM,96.942,3200.0,,,,,
41,05/15/19 03:40:00 PM,98.110,8704.0,,,,,
42,05/15/19 03:50:00 PM,96.942,4352.0,,,,,
43,05/15/19 04:00:00 PM,99.093,5120.0,,,,,
44,05/15/19 04:10:00 PM,96.942,3200.0,,,,,
45,05/15/19 04:20:00 PM,92.363,3072.0,,,,,
46,05/15/19 04:30:00 PM,89.200,3072.0,,,,,
47,05/15/19 04:40:00 PM,87.552,2432.0,,,,,
48,05/15/19 04:50:00 PM,86.823,2816.0,,,,,
49,05/15/19 05:00:00 PM,86.641,2304.0,,,,,
50,05/15/19 05:10:00 PM,84.834,2048.0,,,,,
51,05/15/19 05:20:00 PM,82.508,1664.0,,,,,
52,05/15/19 05:30:00 PM,81.442,1472.0,,,,,
53,05/15/19 05:40:00 PM,80.735,1280.0,,,,,
54,05/15/19 05:50:00 PM,80.029,1408.0,,,,,
55,05/15/19 06:00:00 PM,78.800,1216.0,,,,,
56,05/15/19 06:10:00 PM,77.923,896.0,,,,,
57,05/15/19 06:20:00 PM,76.528,960.0,,,,,
58,05/15/19 06:30:00 PM,75.484,704.0,,,,,
59,05/15/19 06:40:00 PM,74.271,512.0,,,,,
60,05/15/19 06:50:00 PM,73.234,384.0,,,,,
61,05/15/19 07:00:00 PM,72.028,256.0,,,,,
62,05/15/19 07:10:00 PM,70.995,200.0,,,,,
63,05/15/19 07:20:00 PM,69.964,122.0,,,,,
64,05/15/19 07:30:00 PM,69.278,48.0,,,,,
65,05/15/19 07:40:00 PM,68.763,14.0,,,,,
66,05/15/19 07:50:00 PM,68.421,3.0,,,,,
67,05/15/19 08:00:00 PM,68.077,0.0,,,,,
68,05/15/19 08:10:00 PM,67.906,0.0,,,,,
69,05/15/19 08:20:00 PM,67.221,0.0,,,,,
70,05/15/19 08:30:00 PM,66.708,0.0,,,,,
71,05/15/19 08:40:00 PM,66.366,0.0,,,,,
72,05/15/19 08:50:00 PM,65.851,0.0,,,,,
73,05/15/19 09:00:00 PM,65.338,0.0,,,,,
74,05/15/19 09:10:00 PM,65.338,0.0,,,,,
75,05/15/19 09:20:00 PM,64.996,0.0,,,,,
76,05/15/19 09:30:00 PM,64.481,0.0,,,,,
77,05/15/19 09:40:00 PM,63.968,0.0,,,,,
78,05/15/19 09:50:00 PM,63.797,0.0,,,,,
79,05/15/19 10:00:00 PM,63.455,0.0,,,,,
80,05/15/19 10:10:00 PM,63.455,0.0,,,,,
81,05/15/19 10:20:00 PM,62.598,0.0,,,,,
82,05/15/19 10:30:00 PM,60.883,0.0,,,,,
83,05/15/19 10:40:00 PM,59.680,0.0,,,,,
84,05/15/19 10:50:00 PM,58.647,0.0,,,,,
85,05/15/19 11:00:00 PM,57.958,0.0,,,,,
86,05/15/19 11:10:00 PM,57.785,0.0,,,,,
87,05/15/19 11:20:00 PM,56.750,0.0,,,,,
88,05/15/19 11:30:00 PM,57.096,0.0,,,,,
89,05/15/19 11:40:00 PM,56.923,0.0,,,,,
90,05/15/19 11:50:00 PM,59.164,0.0,,,,,
91,05/16/19 12:00:00 AM,59.337,0.0,,,,,
92,05/16/19 12:10:00 AM,58.993,0.0,,,,,
93,05/16/19 12:20:00 AM,58.820,0.0,,,,,
94,05/16/19 12:30:00 AM,58.476,0.0,,,,,
95,05/16/19 12:40:00 AM,57.958,0.0,,,,,
96,05/16/19 12:50:00 AM,57.096,0.0,,,,,
97,05/16/19 01:00:00 AM,55.884,0.0,,,,,
98,05/16/19 01:10:00 AM,54.669,0.0,,,,,
99,05/16/19 01:20:00 AM,54.495,0.0,,,,,
100,05/16/19 01:30:00 AM,54.669,0.0,,,,,
101,05/16/19 01:40:00 AM,53.798,0.0,,,,,
