"Plot Title: 20597572"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20597572, SEN S/N: 20597572)","Intensity, lum/ft² (LGR S/N: 20597572, SEN S/N: 20597572)","Host Connected (LGR S/N: 20597572)","Coupler Attached (LGR S/N: 20597572)","Stopped (LGR S/N: 20597572)","End Of File (LGR S/N: 20597572)"
1,05/15/19 09:00:00 AM,80.735,4096.0,,,,
2,05/15/19 09:10:00 AM,83.579,3456.0,,,,
3,05/15/19 09:20:00 AM,80.911,2944.0,,,,
4,05/15/19 09:30:00 AM,81.090,2304.0,,,,
5,05/15/19 09:40:00 AM,84.474,3840.0,,,,
6,05/15/19 09:50:00 AM,84.474,3840.0,,,,
7,05/15/19 10:00:00 AM,86.277,4608.0,,,,
8,05/15/19 10:10:00 AM,85.915,4352.0,,,,
9,05/15/19 10:20:00 AM,85.735,4352.0,,,,
10,05/15/19 10:30:00 AM,86.641,4352.0,,,,
11,05/15/19 10:40:00 AM,89.017,4608.0,,,,
12,05/15/19 10:50:00 AM,89.384,4864.0,,,,
13,05/15/19 11:00:00 AM,91.425,4096.0,,,,
14,05/15/19 11:10:00 AM,92.174,5888.0,,,,
15,05/15/19 11:20:00 AM,93.873,5632.0,,,,
16,05/15/19 11:30:00 AM,85.915,2304.0,,,,
17,05/15/19 11:40:00 AM,88.833,5888.0,,,,
18,05/15/19 11:50:00 AM,96.942,6656.0,,,,
19,05/15/19 12:00:00 PM,95.976,6912.0,,,,
20,05/15/19 12:10:00 PM,89.755,3712.0,,,,
21,05/15/19 12:20:00 PM,91.240,5376.0,,,,
22,05/15/19 12:30:00 PM,94.253,6144.0,,,,
23,05/15/19 12:40:00 PM,96.555,5376.0,,,,
24,05/15/19 12:50:00 PM,94.253,6144.0,,,,
25,05/15/19 01:00:00 PM,91.053,5120.0,,,,
26,05/15/19 01:10:00 PM,92.363,6912.0,,,,
27,05/15/19 01:20:00 PM,91.240,4352.0,,,,
28,05/15/19 01:30:00 PM,87.552,4352.0,,,,
29,05/15/19 01:40:00 PM,87.733,5376.0,,,,
30,05/15/19 01:50:00 PM,95.016,6400.0,,,,
31,05/15/19 02:00:00 PM,87.186,4864.0,,,,
32,05/15/19 02:10:00 PM,86.641,4096.0,,,,
33,05/15/19 02:20:00 PM,97.916,7680.0,,,,
34,05/15/19 02:30:00 PM,96.168,7680.0,,,,
