"Plot Title: 20564172"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20564172, SEN S/N: 20564172)","Intensity, lum/ft² (LGR S/N: 20564172, SEN S/N: 20564172)","Coupler Attached (LGR S/N: 20564172)","Host Connected (LGR S/N: 20564172)","Stopped (LGR S/N: 20564172)","End Of File (LGR S/N: 20564172)"
1,05/15/19 09:00:00 AM,80.382,672.0,,,,
2,05/15/19 09:10:00 AM,83.757,672.0,,,,
3,05/15/19 09:20:00 AM,83.757,576.0,,,,
4,05/15/19 09:30:00 AM,84.115,480.0,,,,
5,05/15/19 09:40:00 AM,88.282,800.0,,,,
6,05/15/19 09:50:00 AM,90.680,864.0,,,,
7,05/15/19 10:00:00 AM,94.633,1152.0,,,,
8,05/15/19 10:10:00 AM,99.093,1216.0,,,,
9,05/15/19 10:20:00 AM,97.525,1280.0,,,,
10,05/15/19 10:30:00 AM,96.168,1152.0,,,,
11,05/15/19 10:40:00 AM,93.115,896.0,,,,
12,05/15/19 10:50:00 AM,94.633,1152.0,,,,
13,05/15/19 11:00:00 AM,98.110,1024.0,,,,
14,05/15/19 11:10:00 AM,100.483,1472.0,,,,
15,05/15/19 11:20:00 AM,104.333,1472.0,,,,
16,05/15/19 11:30:00 AM,101.887,512.0,,,,
17,05/15/19 11:40:00 AM,98.110,1472.0,,,,
18,05/15/19 11:50:00 AM,103.104,1152.0,,,,
19,05/15/19 12:00:00 PM,107.470,1344.0,,,,
20,05/15/19 12:10:00 PM,106.414,864.0,,,,
21,05/15/19 12:20:00 PM,109.828,1472.0,,,,
22,05/15/19 12:30:00 PM,121.093,2432.0,,,,
23,05/15/19 12:40:00 PM,132.044,1984.0,,,,
24,05/15/19 12:50:00 PM,128.496,2048.0,,,,
25,05/15/19 01:00:00 PM,117.028,1408.0,,,,
26,05/15/19 01:10:00 PM,115.407,2304.0,,,,
27,05/15/19 01:20:00 PM,114.039,1088.0,,,,
28,05/15/19 01:30:00 PM,106.205,1024.0,,,,
29,05/15/19 01:40:00 PM,102.697,1664.0,,,,
30,05/15/19 01:50:00 PM,116.562,1984.0,,,,
31,05/15/19 02:00:00 PM,105.786,1280.0,,,,
32,05/15/19 02:10:00 PM,102.493,896.0,,,,
33,05/15/19 02:20:00 PM,118.441,2432.0,,,,
34,05/15/19 02:30:00 PM,120.362,2432.0,,,,
35,05/15/19 02:40:00 PM,114.265,960.0,,,,
36,05/15/19 02:50:00 PM,110.919,2048.0,,,,
37,05/15/19 03:00:00 PM,120.848,2432.0,,,,
38,05/15/19 03:10:00 PM,126.387,2048.0,,,,
39,05/15/19 03:20:00 PM,118.679,1536.0,,,,
40,05/15/19 03:30:00 PM,112.690,1024.0,,,,
41,05/15/19 03:40:00 PM,116.796,1728.0,,,,
42,05/15/19 03:50:00 PM,114.039,1600.0,,,,
43,05/15/19 04:00:00 PM,113.587,1664.0,,,,
44,05/15/19 04:10:00 PM,107.470,704.0,,,,
45,05/15/19 04:20:00 PM,100.882,672.0,,,,
46,05/15/19 04:30:00 PM,94.825,704.0,,,,
47,05/15/19 04:40:00 PM,92.363,512.0,,,,
48,05/15/19 04:50:00 PM,90.309,672.0,,,,
49,05/15/19 05:00:00 PM,89.755,512.0,,,,
50,05/15/19 05:10:00 PM,87.552,480.0,,,,
51,05/15/19 05:20:00 PM,84.115,384.0,,,,
52,05/15/19 05:30:00 PM,82.508,336.0,,,,
53,05/15/19 05:40:00 PM,81.442,320.0,,,,
54,05/15/19 05:50:00 PM,80.911,336.0,,,,
55,05/15/19 06:00:00 PM,79.678,304.0,,,,
56,05/15/19 06:10:00 PM,78.098,240.0,,,,
57,05/15/19 06:20:00 PM,76.528,240.0,,,,
58,05/15/19 06:30:00 PM,75.484,192.0,,,,
59,05/15/19 06:40:00 PM,74.098,144.0,,,,
60,05/15/19 06:50:00 PM,72.545,99.0,,,,
61,05/15/19 07:00:00 PM,71.168,65.0,,,,
62,05/15/19 07:10:00 PM,69.964,49.0,,,,
63,05/15/19 07:20:00 PM,68.763,31.0,,,,
64,05/15/19 07:30:00 PM,67.735,12.0,,,,
65,05/15/19 07:40:00 PM,67.050,3.0,,,,
66,05/15/19 07:50:00 PM,66.879,1.0,,,,
67,05/15/19 08:00:00 PM,66.537,0.0,,,,
68,05/15/19 08:10:00 PM,66.022,0.0,,,,
69,05/15/19 08:20:00 PM,65.338,0.0,,,,
70,05/15/19 08:30:00 PM,64.996,0.0,,,,
71,05/15/19 08:40:00 PM,64.825,0.0,,,,
72,05/15/19 08:50:00 PM,63.968,0.0,,,,
73,05/15/19 09:00:00 PM,63.455,0.0,,,,
74,05/15/19 09:10:00 PM,63.282,0.0,,,,
75,05/15/19 09:20:00 PM,63.111,0.0,,,,
76,05/15/19 09:30:00 PM,62.598,0.0,,,,
77,05/15/19 09:40:00 PM,62.083,0.0,,,,
78,05/15/19 09:50:00 PM,61.569,0.0,,,,
79,05/15/19 10:00:00 PM,61.054,0.0,,,,
80,05/15/19 10:10:00 PM,60.712,0.0,,,,
81,05/15/19 10:20:00 PM,59.508,0.0,,,,
82,05/15/19 10:30:00 PM,57.785,0.0,,,,
83,05/15/19 10:40:00 PM,57.096,0.0,,,,
84,05/15/19 10:50:00 PM,55.711,0.0,,,,
85,05/15/19 11:00:00 PM,55.189,0.0,,,,
86,05/15/19 11:10:00 PM,54.669,0.0,,,,
87,05/15/19 11:20:00 PM,53.449,0.0,,,,
88,05/15/19 11:30:00 PM,53.100,0.0,,,,
89,05/15/19 11:40:00 PM,52.925,0.0,,,,
90,05/15/19 11:50:00 PM,56.230,0.0,,,,
91,05/16/19 12:00:00 AM,56.923,0.0,,,,
92,05/16/19 12:10:00 AM,56.057,0.0,,,,
93,05/16/19 12:20:00 AM,54.669,0.0,,,,
94,05/16/19 12:30:00 AM,53.973,0.0,,,,
95,05/16/19 12:40:00 AM,53.623,0.0,,,,
96,05/16/19 12:50:00 AM,52.401,0.0,,,,
97,05/16/19 01:00:00 AM,51.523,0.0,,,,
98,05/16/19 01:10:00 AM,50.643,0.0,,,,
99,05/16/19 01:20:00 AM,50.113,0.0,,,,
