id,date,latitude,longitude,treatment,x,y,z,volume,quad_south,quad_west,experiment,notes
1,5/15/2019,34.78254,-115.66396,Pole,1,1,142,142,4,4,mimic,
2,5/15/2019,34.78308,-115.66332,Open,,,,,1,10,mimic,
3,5/15/2019,34.78299,-115.66322,Zero,94,89,104,870064,2,10,mimic,
4,5/15/2019,34.78254,-115.66252,Fifteen,190,114,114,2469240,8,9,mimic,
5,5/15/2019,34.78291,-115.66252,Thirty,175,165,122,3522750,6,1,mimic,
6,5/15/2019,34.78234,-115.66302,Shrub,302,201,106,6434412,9,6,mimic,
7,5/16/2019,34.78256,-115.66291,Pole,1,1,170,170,5,5,mimic,
8,5/16/2019,34.78237,-115.66339,Open,,,,,8,8,mimic,
9,5/16/2019,34.7878225,-115.66264,Zero,112,94,107,1126496,8,1,mimic,
10,5/16/2019,34.78276,-115.66293,Fifteen,43,38,35,57190,3,4,mimic,
11,5/16/2019,34.78291,-115.66265,Thirty,163,155,102,2577030,0,3,mimic,
12,5/16/2019,34.78232,-115.66299,Shrub,765,744,246,140013360,8,4,mimic,
13,5/17/2019,34.78202,-115.6628,Pole,1,1,26.37795276,26.37795276,10,4,mimic,
14,5/17/2019,34.7822,-115.66336,Open,,,,,7,10,mimic,
15,5/17/2019,34.7829,-115.66334,Zero,0,0,0,0,8,2,mimic,
16,5/17/2019,34.78273,-115.6629,Fifteen,180.34,104.14,149.86,2814461.855,4,2,mimic,
17,5/17/2019,34.78245,-115.6634,Thirty,121.92,124.46,104.14,1580237.356,7,7,mimic,
18,5/17/2019,34.78242,-115.6633,Shrub,109.22,129.54,81.28,1149978.603,7,7,mimic,
19,5/19/2019,34.78276,-115.6631,Pole,1,1,162.56,162.56,3,6,mimic,
20,5/19/2019,34.78288,-115.6632,Open,,,,,3,10,mimic,
21,5/19/2019,34.78223,-115.66388,Zero,121.92,111.76,106.68,1453598.125,10,10,mimic,
22,5/19/2019,34.78231,-115.66378,Fifteen,144.78,111.76,114.3,1849444.043,9,9,mimic,
23,5/19/2019,34.78241,-115.66283,Thirty,132.08,99.06,144.78,1894279.05,6,3,mimic,
24,5/19/2019,34.78238,-115.66335,Shrub,213.36,165.1,99.06,3489461.408,9,8,mimic,
25,5/20/2019,34.7826,-115.66328,Pole,1,1,170.18,170.18,5,8,mimic,
26,5/20/2019,34.78231,-115.66263,Open,,,,,7,1,mimic,
27,5/20/2019,34.78257,-115.6629,Zero,137.16,127,114.3,1991028.276,4,5,mimic,
28,5/20/2019,34.78299,-115.66266,Fifteen,170.18,114.3,116.84,2272721.906,0,3,mimic,
29,5/20/2019,34.7824,-115.66286,Thirty,144.78,119.38,93.98,1624334.945,3,7,mimic,
