"Plot Title: 20597547"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20597547, SEN S/N: 20597547)","Intensity, lum/ft² (LGR S/N: 20597547, SEN S/N: 20597547)","Coupler Attached (LGR S/N: 20597547)","Coupler Detached (LGR S/N: 20597547)","Host Connected (LGR S/N: 20597547)","Stopped (LGR S/N: 20597547)","End Of File (LGR S/N: 20597547)"
1,05/28/19 11:00:00 AM,85.014,4608.0,,,,,
2,05/28/19 11:10:00 AM,81.797,4352.0,,,,,
3,05/28/19 11:20:00 AM,80.382,4352.0,,,,,
4,05/28/19 11:30:00 AM,81.975,4352.0,,,,,
5,05/28/19 11:40:00 AM,80.382,4608.0,,,,,
6,05/28/19 11:50:00 AM,81.975,4608.0,,,,,
7,05/28/19 12:00:00 PM,78.975,4352.0,,,,,
8,05/28/19 12:10:00 PM,79.502,4352.0,,,,,
9,05/28/19 12:20:00 PM,79.151,4352.0,,,,,
10,05/28/19 12:30:00 PM,79.502,4352.0,,,,,
11,05/28/19 12:40:00 PM,78.624,4096.0,,,,,
12,05/28/19 12:50:00 PM,79.151,4096.0,,,,,
13,05/28/19 01:00:00 PM,81.797,4096.0,,,,,
14,05/28/19 01:10:00 PM,80.382,4096.0,,,,,
15,05/28/19 01:20:00 PM,79.853,4352.0,,,,,
16,05/28/19 01:30:00 PM,79.678,4352.0,,,,,
17,05/28/19 01:40:00 PM,80.559,4608.0,,,,,
18,05/28/19 01:50:00 PM,80.206,3840.0,,,,,
19,05/28/19 02:00:00 PM,81.975,4096.0,,,,,
20,05/28/19 02:10:00 PM,81.621,4096.0,,,,,
21,05/28/19 02:20:00 PM,81.797,4352.0,,,,,
22,05/28/19 02:30:00 PM,83.935,4352.0,,,,,
23,05/28/19 02:40:00 PM,84.295,4608.0,,,,,
24,05/28/19 02:50:00 PM,84.654,4608.0,,,,,
25,05/28/19 03:00:00 PM,84.115,4864.0,,,,,
26,05/28/19 03:10:00 PM,82.686,4608.0,,,,,
27,05/28/19 03:20:00 PM,82.330,4864.0,,,,,
28,05/28/19 03:30:00 PM,82.152,4608.0,,,,,
29,05/28/19 03:40:00 PM,81.621,4608.0,,,,,
30,05/28/19 03:50:00 PM,82.864,4864.0,,,,,
31,05/28/19 04:00:00 PM,79.502,4096.0,,,,,
32,05/28/19 04:10:00 PM,81.621,3584.0,,,,,
33,05/28/19 04:20:00 PM,80.382,3584.0,,,,,
34,05/28/19 04:30:00 PM,81.266,3456.0,,,,,
35,05/28/19 04:40:00 PM,80.911,3072.0,,,,,
36,05/28/19 04:50:00 PM,80.382,3072.0,,,,,
37,05/28/19 05:00:00 PM,77.225,3456.0,,,,,
