"Plot Title: 20564170"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20564170, SEN S/N: 20564170)","Intensity, lum/ft² (LGR S/N: 20564170, SEN S/N: 20564170)","Coupler Attached (LGR S/N: 20564170)","Coupler Detached (LGR S/N: 20564170)","Host Connected (LGR S/N: 20564170)","Stopped (LGR S/N: 20564170)","End Of File (LGR S/N: 20564170)"
1,05/28/19 11:00:00 AM,95.207,1088.0,,,,,
2,05/28/19 11:10:00 AM,86.641,704.0,,,,,
3,05/28/19 11:20:00 AM,88.099,800.0,,,,,
4,05/28/19 11:30:00 AM,88.650,608.0,,,,,
5,05/28/19 11:40:00 AM,89.384,960.0,,,,,
6,05/28/19 11:50:00 AM,89.938,800.0,,,,,
7,05/28/19 12:00:00 PM,84.834,800.0,,,,,
8,05/28/19 12:10:00 PM,81.442,464.0,,,,,
9,05/28/19 12:20:00 PM,79.678,416.0,,,,,
10,05/28/19 12:30:00 PM,78.624,432.0,,,,,
11,05/28/19 12:40:00 PM,77.923,464.0,,,,,
12,05/28/19 12:50:00 PM,79.326,480.0,,,,,
13,05/28/19 01:00:00 PM,86.277,512.0,,,,,
14,05/28/19 01:10:00 PM,87.004,672.0,,,,,
15,05/28/19 01:20:00 PM,84.654,960.0,,,,,
16,05/28/19 01:30:00 PM,87.552,1216.0,,,,,
17,05/28/19 01:40:00 PM,95.783,992.0,,,,,
18,05/28/19 01:50:00 PM,91.800,672.0,,,,,
19,05/28/19 02:00:00 PM,88.282,672.0,,,,,
20,05/28/19 02:10:00 PM,86.823,896.0,,,,,
21,05/28/19 02:20:00 PM,90.495,1152.0,,,,,
22,05/28/19 02:30:00 PM,93.682,896.0,,,,,
23,05/28/19 02:40:00 PM,95.207,1088.0,,,,,
24,05/28/19 02:50:00 PM,92.174,1152.0,,,,,
25,05/28/19 03:00:00 PM,88.833,1152.0,,,,,
26,05/28/19 03:10:00 PM,89.017,1088.0,,,,,
27,05/28/19 03:20:00 PM,92.363,1024.0,,,,,
28,05/28/19 03:30:00 PM,95.016,1024.0,,,,,
29,05/28/19 03:40:00 PM,97.137,960.0,,,,,
30,05/28/19 03:50:00 PM,98.110,1024.0,,,,,
31,05/28/19 04:00:00 PM,93.873,960.0,,,,,
32,05/28/19 04:10:00 PM,92.174,672.0,,,,,
33,05/28/19 04:20:00 PM,91.240,576.0,,,,,
34,05/28/19 04:30:00 PM,89.200,480.0,,,,,
35,05/28/19 04:40:00 PM,86.641,448.0,,,,,
36,05/28/19 04:50:00 PM,85.374,400.0,,,,,
37,05/28/19 05:00:00 PM,82.508,320.0,,,,,
38,05/28/19 05:10:00 PM,79.502,304.0,,,,,
39,05/28/19 05:20:00 PM,79.502,256.0,,,,,
40,05/28/19 05:30:00 PM,78.975,240.0,,,,,
41,05/28/19 05:40:00 PM,78.274,224.0,,,,,
42,05/28/19 05:50:00 PM,77.050,208.0,,,,,
43,05/28/19 06:00:00 PM,76.354,184.0,,,,,
44,05/28/19 06:10:00 PM,73.753,28.0,,,,,
45,05/28/19 06:20:00 PM,70.651,18.0,,,,,
46,05/28/19 06:30:00 PM,68.934,15.0,,,,,
47,05/28/19 06:40:00 PM,67.735,14.0,,,,,
48,05/28/19 06:50:00 PM,66.879,13.0,,,,,
49,05/28/19 07:00:00 PM,66.537,16.0,,,,,
50,05/28/19 07:10:00 PM,66.366,18.0,,,,,
51,05/28/19 07:20:00 PM,66.193,22.0,,,,,
52,05/28/19 07:30:00 PM,66.366,24.0,,,,,
53,05/28/19 07:40:00 PM,66.193,15.0,,,,,
54,05/28/19 07:50:00 PM,65.509,9.0,,,,,
55,05/28/19 08:00:00 PM,64.825,0.0,,,,,
56,05/28/19 08:10:00 PM,63.797,0.0,,,,,
57,05/28/19 08:20:00 PM,63.455,0.0,,,,,
58,05/28/19 08:30:00 PM,62.940,0.0,,,,,
59,05/28/19 08:40:00 PM,62.425,0.0,,,,,
60,05/28/19 08:50:00 PM,61.398,0.0,,,,,
61,05/28/19 09:00:00 PM,60.195,0.0,,,,,
62,05/28/19 09:10:00 PM,58.993,0.0,,,,,
63,05/28/19 09:20:00 PM,58.131,0.0,,,,,
64,05/28/19 09:30:00 PM,57.614,0.0,,,,,
65,05/28/19 09:40:00 PM,57.441,0.0,,,,,
66,05/28/19 09:50:00 PM,57.958,0.0,,,,,
67,05/28/19 10:00:00 PM,58.303,0.0,,,,,
68,05/28/19 10:10:00 PM,57.785,0.0,,,,,
69,05/28/19 10:20:00 PM,58.303,0.0,,,,,
70,05/28/19 10:30:00 PM,59.508,0.0,,,,,
71,05/28/19 10:40:00 PM,60.024,0.0,,,,,
72,05/28/19 10:50:00 PM,59.337,0.0,,,,,
73,05/28/19 11:00:00 PM,58.820,0.0,,,,,
74,05/28/19 11:10:00 PM,57.785,0.0,,,,,
75,05/28/19 11:20:00 PM,57.268,0.0,,,,,
76,05/28/19 11:30:00 PM,56.577,0.0,,,,,
77,05/28/19 11:40:00 PM,55.711,0.0,,,,,
78,05/28/19 11:50:00 PM,55.537,0.0,,,,,
79,05/29/19 12:00:00 AM,55.884,0.0,,,,,
80,05/29/19 12:10:00 AM,55.884,0.0,,,,,
81,05/29/19 12:20:00 AM,55.189,0.0,,,,,
82,05/29/19 12:30:00 AM,54.842,0.0,,,,,
83,05/29/19 12:40:00 AM,54.495,0.0,,,,,
84,05/29/19 12:50:00 AM,54.495,0.0,,,,,
85,05/29/19 01:00:00 AM,53.973,0.0,,,,,
86,05/29/19 01:10:00 AM,53.449,0.0,,,,,
87,05/29/19 01:20:00 AM,52.925,0.0,,,,,
88,05/29/19 01:30:00 AM,53.449,0.0,,,,,
89,05/29/19 01:40:00 AM,55.017,0.0,,,,,
90,05/29/19 01:50:00 AM,55.364,0.0,,,,,
91,05/29/19 02:00:00 AM,55.364,0.0,,,,,
92,05/29/19 02:10:00 AM,54.495,0.0,,,,,
93,05/29/19 02:20:00 AM,53.274,0.0,,,,,
94,05/29/19 02:30:00 AM,53.623,0.0,,,,,
95,05/29/19 02:40:00 AM,54.495,0.0,,,,,
96,05/29/19 02:50:00 AM,55.189,0.0,,,,,
97,05/29/19 03:00:00 AM,55.711,0.0,,,,,
98,05/29/19 03:10:00 AM,55.711,0.0,,,,,
99,05/29/19 03:20:00 AM,56.230,0.0,,,,,
100,05/29/19 03:30:00 AM,56.404,0.0,,,,,
101,05/29/19 03:40:00 AM,56.404,0.0,,,,,
102,05/29/19 03:50:00 AM,56.404,0.0,,,,,
103,05/29/19 04:00:00 AM,56.057,0.0,,,,,
104,05/29/19 04:10:00 AM,55.884,0.0,,,,,
105,05/29/19 04:20:00 AM,55.711,0.0,,,,,
106,05/29/19 04:30:00 AM,55.884,0.0,,,,,
107,05/29/19 04:40:00 AM,56.230,0.0,,,,,
108,05/29/19 04:50:00 AM,56.057,0.0,,,,,
109,05/29/19 05:00:00 AM,56.230,0.0,,,,,
110,05/29/19 05:10:00 AM,56.230,0.0,,,,,
111,05/29/19 05:20:00 AM,56.404,0.0,,,,,
112,05/29/19 05:30:00 AM,56.750,4.0,,,,,
113,05/29/19 05:40:00 AM,56.577,9.0,,,,,
114,05/29/19 05:50:00 AM,56.750,13.0,,,,,
115,05/29/19 06:00:00 AM,56.577,19.0,,,,,
116,05/29/19 06:10:00 AM,56.750,23.0,,,,,
117,05/29/19 06:20:00 AM,57.268,33.0,,,,,
118,05/29/19 06:30:00 AM,58.647,144.0,,,,,
119,05/29/19 06:40:00 AM,61.569,128.0,,,,,
120,05/29/19 06:50:00 AM,63.111,160.0,,,,,
121,05/29/19 07:00:00 AM,64.825,184.0,,,,,
122,05/29/19 07:10:00 AM,66.366,160.0,,,,,
123,05/29/19 07:20:00 AM,68.077,232.0,,,,,
124,05/29/19 07:30:00 AM,69.793,272.0,,,,,
125,05/29/19 07:40:00 AM,72.718,256.0,,,,,
126,05/29/19 07:50:00 AM,72.718,256.0,,,,,
127,05/29/19 08:00:00 AM,73.062,288.0,,,,,
128,05/29/19 08:10:00 AM,74.791,400.0,,,,,
129,05/29/19 08:20:00 AM,76.181,320.0,,,,,
130,05/29/19 08:30:00 AM,76.181,448.0,,,,,
131,05/29/19 08:40:00 AM,79.326,480.0,,,,,
132,05/29/19 08:50:00 AM,83.221,464.0,,,,,
133,05/29/19 09:00:00 AM,80.735,288.0,,,,,
134,05/29/19 09:10:00 AM,80.382,480.0,,,,,
135,05/29/19 09:20:00 AM,81.975,448.0,,,,,
136,05/29/19 09:30:00 AM,83.579,512.0,,,,,
137,05/29/19 09:40:00 AM,85.735,576.0,,,,,
138,05/29/19 09:50:00 AM,86.641,480.0,,,,,
139,05/29/19 10:00:00 AM,88.466,672.0,,,,,
140,05/29/19 10:10:00 AM,90.495,768.0,,,,,
141,05/29/19 10:20:00 AM,89.755,576.0,,,,,
142,05/29/19 10:30:00 AM,87.915,672.0,,,,,
143,05/29/19 10:40:00 AM,87.552,512.0,,,,,
144,05/29/19 10:50:00 AM,91.800,1088.0,,,,,
145,05/29/19 11:00:00 AM,94.633,896.0,,,,,
146,05/29/19 11:10:00 AM,91.987,768.0,,,,,
147,05/29/19 11:20:00 AM,94.444,768.0,,,,,
148,05/29/19 11:30:00 AM,94.253,768.0,,,,,
149,05/29/19 11:40:00 AM,96.361,960.0,,,,,
150,05/29/19 11:50:00 AM,97.137,960.0,,,,,
151,05/29/19 12:00:00 PM,87.733,304.0,,,,,
152,05/29/19 12:10:00 PM,90.680,200.0,,,,,
153,05/29/19 12:20:00 PM,84.115,288.0,,,,,
154,05/29/19 12:30:00 PM,85.014,184.0,,,,,
155,05/29/19 12:40:00 PM,82.686,272.0,,,,,
156,05/29/19 12:50:00 PM,81.090,480.0,,,,,
157,05/29/19 01:00:00 PM,90.495,672.0,,,,,
158,05/29/19 01:10:00 PM,98.503,768.0,,,,,
159,05/29/19 01:20:00 PM,97.331,992.0,,,,,
160,05/29/19 01:30:00 PM,103.923,1408.0,,,,,
161,05/29/19 01:40:00 PM,111.801,1280.0,,,,,
162,05/29/19 01:50:00 PM,112.023,960.0,,,,,
163,05/29/19 02:00:00 PM,105.161,288.0,,,,,
164,05/29/19 02:10:00 PM,102.493,1216.0,,,,,
165,05/29/19 02:20:00 PM,97.137,240.0,,,,,
166,05/29/19 02:30:00 PM,89.017,256.0,,,,,
167,05/29/19 02:40:00 PM,85.194,224.0,,,,,
168,05/29/19 02:50:00 PM,82.864,248.0,,,,,
169,05/29/19 03:00:00 PM,89.384,288.0,,,,,
170,05/29/19 03:10:00 PM,86.641,232.0,,,,,
171,05/29/19 03:20:00 PM,83.935,224.0,,,,,
172,05/29/19 03:30:00 PM,81.621,192.0,,,,,
173,05/29/19 03:40:00 PM,81.442,192.0,,,,,
174,05/29/19 03:50:00 PM,80.382,200.0,,,,,
175,05/29/19 04:00:00 PM,80.735,416.0,,,,,
176,05/29/19 04:10:00 PM,81.621,248.0,,,,,
177,05/29/19 04:20:00 PM,79.853,208.0,,,,,
178,05/29/19 04:30:00 PM,79.502,192.0,,,,,
179,05/29/19 04:40:00 PM,78.098,115.0,,,,,
180,05/29/19 04:50:00 PM,76.181,87.0,,,,,
181,05/29/19 05:00:00 PM,77.749,416.0,,,,,
182,05/29/19 05:10:00 PM,78.449,83.0,,,,,
183,05/29/19 05:20:00 PM,78.624,120.0,,,,,
184,05/29/19 05:30:00 PM,79.151,288.0,,,,,
185,05/29/19 05:40:00 PM,80.559,256.0,,,,,
186,05/29/19 05:50:00 PM,80.559,240.0,,,,,
187,05/29/19 06:00:00 PM,80.382,200.0,,,,,
188,05/29/19 06:10:00 PM,77.225,32.0,,,,,
189,05/29/19 06:20:00 PM,74.098,23.0,,,,,
190,05/29/19 06:30:00 PM,72.199,23.0,,,,,
191,05/29/19 06:40:00 PM,70.995,29.0,,,,,
192,05/29/19 06:50:00 PM,70.651,33.0,,,,,
193,05/29/19 07:00:00 PM,70.480,21.0,,,,,
194,05/29/19 07:10:00 PM,69.449,15.0,,,,,
195,05/29/19 07:20:00 PM,67.564,10.0,,,,,
196,05/29/19 07:30:00 PM,66.022,8.0,,,,,
197,05/29/19 07:40:00 PM,66.193,5.0,,,,,
198,05/29/19 07:50:00 PM,66.879,2.0,,,,,
199,05/29/19 08:00:00 PM,66.879,0.0,,,,,
200,05/29/19 08:10:00 PM,66.537,0.0,,,,,
201,05/29/19 08:20:00 PM,66.022,0.0,,,,,
202,05/29/19 08:30:00 PM,64.652,0.0,,,,,
203,05/29/19 08:40:00 PM,64.481,0.0,,,,,
204,05/29/19 08:50:00 PM,64.139,0.0,,,,,
