"Plot Title: 20597566"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20597566, SEN S/N: 20597566)","Intensity, lum/ft² (LGR S/N: 20597566, SEN S/N: 20597566)","Coupler Attached (LGR S/N: 20597566)","Host Connected (LGR S/N: 20597566)","Stopped (LGR S/N: 20597566)","End Of File (LGR S/N: 20597566)"
1,05/15/19 09:00:00 AM,84.834,17408.0,,,,
2,05/15/19 09:10:00 AM,92.926,12288.0,,,,
3,05/15/19 09:20:00 AM,87.004,9728.0,,,,
4,05/15/19 09:30:00 AM,88.466,9216.0,,,,
5,05/15/19 09:40:00 AM,98.307,18432.0,,,,
6,05/15/19 09:50:00 AM,97.331,19456.0,,,,
7,05/15/19 10:00:00 AM,100.882,21504.0,,,,
8,05/15/19 10:10:00 AM,96.168,18432.0,,,,
9,05/15/19 10:20:00 AM,96.168,19456.0,,,,
10,05/15/19 10:30:00 AM,94.633,18432.0,,,,
11,05/15/19 10:40:00 AM,92.363,15872.0,,,,
12,05/15/19 10:50:00 AM,90.309,14336.0,,,,
13,05/15/19 11:00:00 AM,90.495,5632.0,,,,
14,05/15/19 11:10:00 AM,87.186,5376.0,,,,
15,05/15/19 11:20:00 AM,87.186,3456.0,,,,
16,05/15/19 11:30:00 AM,82.330,3328.0,,,,
17,05/15/19 11:40:00 AM,84.295,5376.0,,,,
18,05/15/19 11:50:00 AM,91.240,5120.0,,,,
19,05/15/19 12:00:00 PM,91.987,8192.0,,,,
20,05/15/19 12:10:00 PM,86.823,4864.0,,,,
21,05/15/19 12:20:00 PM,87.733,7680.0,,,,
22,05/15/19 12:30:00 PM,86.277,10240.0,,,,
23,05/15/19 12:40:00 PM,85.915,3840.0,,,,
24,05/15/19 12:50:00 PM,85.735,4608.0,,,,
25,05/15/19 01:00:00 PM,85.014,5888.0,,,,
26,05/15/19 01:10:00 PM,86.641,7168.0,,,,
27,05/15/19 01:20:00 PM,85.735,4864.0,,,,
28,05/15/19 01:30:00 PM,83.935,5888.0,,,,
29,05/15/19 01:40:00 PM,83.935,6144.0,,,,
30,05/15/19 01:50:00 PM,86.823,5888.0,,,,
31,05/15/19 02:00:00 PM,84.115,5120.0,,,,
32,05/15/19 02:10:00 PM,82.864,4864.0,,,,
33,05/15/19 02:20:00 PM,87.915,5888.0,,,,
34,05/15/19 02:30:00 PM,86.823,5376.0,,,,
35,05/15/19 02:40:00 PM,84.115,3584.0,,,,
36,05/15/19 02:50:00 PM,84.115,5120.0,,,,
37,05/15/19 03:00:00 PM,85.374,3456.0,,,,
38,05/15/19 03:10:00 PM,85.554,2944.0,,,,
39,05/15/19 03:20:00 PM,83.757,2816.0,,,,
40,05/15/19 03:30:00 PM,84.115,2944.0,,,,
41,05/15/19 03:40:00 PM,84.295,2816.0,,,,
42,05/15/19 03:50:00 PM,83.579,3072.0,,,,
43,05/15/19 04:00:00 PM,83.399,3712.0,,,,
