"Plot Title: 20597550"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20597550, SEN S/N: 20597550)","Intensity, lum/ft² (LGR S/N: 20597550, SEN S/N: 20597550)","Coupler Attached (LGR S/N: 20597550)","Host Connected (LGR S/N: 20597550)","Coupler Detached (LGR S/N: 20597550)","Stopped (LGR S/N: 20597550)","End Of File (LGR S/N: 20597550)"
1,05/15/19 09:00:00 AM,83.579,400.0,,,,,
2,05/15/19 09:10:00 AM,87.186,368.0,,,,,
3,05/15/19 09:20:00 AM,87.186,384.0,,,,,
4,05/15/19 09:30:00 AM,90.309,384.0,,,,,
5,05/15/19 09:40:00 AM,96.748,864.0,,,,,
6,05/15/19 09:50:00 AM,102.088,864.0,,,,,
7,05/15/19 10:00:00 AM,108.322,1216.0,,,,,
8,05/15/19 10:10:00 AM,113.362,1088.0,,,,,
9,05/15/19 10:20:00 AM,117.732,1088.0,,,,,
10,05/15/19 10:30:00 AM,121.582,1088.0,,,,,
11,05/15/19 10:40:00 AM,121.829,1152.0,,,,,
12,05/15/19 10:50:00 AM,122.572,992.0,,,,,
13,05/15/19 11:00:00 AM,121.338,480.0,,,,,
14,05/15/19 11:10:00 AM,113.814,512.0,,,,,
15,05/15/19 11:20:00 AM,105.786,432.0,,,,,
16,05/15/19 11:30:00 AM,99.093,240.0,,,,,
17,05/15/19 11:40:00 AM,99.489,480.0,,,,,
18,05/15/19 11:50:00 AM,104.954,480.0,,,,,
19,05/15/19 12:00:00 PM,101.282,496.0,,,,,
20,05/15/19 12:10:00 PM,98.699,368.0,,,,,
21,05/15/19 12:20:00 PM,97.331,448.0,,,,,
22,05/15/19 12:30:00 PM,95.783,576.0,,,,,
23,05/15/19 12:40:00 PM,99.687,576.0,,,,,
24,05/15/19 12:50:00 PM,101.685,512.0,,,,,
25,05/15/19 01:00:00 PM,98.110,480.0,,,,,
26,05/15/19 01:10:00 PM,97.720,800.0,,,,,
27,05/15/19 01:20:00 PM,100.283,448.0,,,,,
28,05/15/19 01:30:00 PM,96.555,448.0,,,,,
29,05/15/19 01:40:00 PM,95.016,576.0,,,,,
30,05/15/19 01:50:00 PM,102.697,576.0,,,,,
31,05/15/19 02:00:00 PM,97.137,480.0,,,,,
32,05/15/19 02:10:00 PM,94.825,416.0,,,,,
33,05/15/19 02:20:00 PM,98.897,768.0,,,,,
34,05/15/19 02:30:00 PM,98.897,576.0,,,,,
35,05/15/19 02:40:00 PM,96.555,368.0,,,,,
36,05/15/19 02:50:00 PM,96.361,608.0,,,,,
37,05/15/19 03:00:00 PM,99.093,576.0,,,,,
38,05/15/19 03:10:00 PM,99.291,864.0,,,,,
39,05/15/19 03:20:00 PM,99.687,704.0,,,,,
40,05/15/19 03:30:00 PM,99.885,480.0,,,,,
41,05/15/19 03:40:00 PM,101.082,512.0,,,,,
42,05/15/19 03:50:00 PM,97.331,576.0,,,,,
43,05/15/19 04:00:00 PM,97.916,896.0,,,,,
44,05/15/19 04:10:00 PM,99.489,416.0,,,,,
