"Plot Title: 20597565"
"#","Date Time, GMT-07:00","Temp, °F (LGR S/N: 20597565, SEN S/N: 20597565)","Intensity, lum/ft² (LGR S/N: 20597565, SEN S/N: 20597565)","Coupler Attached (LGR S/N: 20597565)","Host Connected (LGR S/N: 20597565)","Stopped (LGR S/N: 20597565)","End Of File (LGR S/N: 20597565)"
1,05/15/19 09:00:00 AM,90.124,18432.0,,,,
2,05/15/19 09:10:00 AM,93.682,12800.0,,,,
3,05/15/19 09:20:00 AM,87.915,10752.0,,,,
4,05/15/19 09:30:00 AM,89.384,9728.0,,,,
5,05/15/19 09:40:00 AM,95.400,17408.0,,,,
6,05/15/19 09:50:00 AM,95.783,16384.0,,,,
7,05/15/19 10:00:00 AM,95.976,19456.0,,,,
8,05/15/19 10:10:00 AM,95.783,15872.0,,,,
9,05/15/19 10:20:00 AM,94.825,16384.0,,,,
10,05/15/19 10:30:00 AM,96.555,15872.0,,,,
11,05/15/19 10:40:00 AM,96.168,15872.0,,,,
12,05/15/19 10:50:00 AM,95.976,15872.0,,,,
13,05/15/19 11:00:00 AM,96.361,10240.0,,,,
14,05/15/19 11:10:00 AM,97.331,18432.0,,,,
15,05/15/19 11:20:00 AM,99.093,16384.0,,,,
16,05/15/19 11:30:00 AM,88.466,3968.0,,,,
17,05/15/19 11:40:00 AM,89.938,14848.0,,,,
18,05/15/19 11:50:00 AM,97.916,12800.0,,,,
19,05/15/19 12:00:00 PM,97.331,11776.0,,,,
20,05/15/19 12:10:00 PM,91.240,5632.0,,,,
21,05/15/19 12:20:00 PM,90.867,8192.0,,,,
22,05/15/19 12:30:00 PM,93.682,6912.0,,,,
23,05/15/19 12:40:00 PM,94.444,4864.0,,,,
24,05/15/19 12:50:00 PM,92.174,6144.0,,,,
25,05/15/19 01:00:00 PM,90.309,6912.0,,,,
26,05/15/19 01:10:00 PM,89.938,7680.0,,,,
27,05/15/19 01:20:00 PM,88.282,5632.0,,,,
28,05/15/19 01:30:00 PM,86.277,6400.0,,,,
29,05/15/19 01:40:00 PM,87.004,6912.0,,,,
30,05/15/19 01:50:00 PM,91.987,6912.0,,,,
31,05/15/19 02:00:00 PM,86.823,5376.0,,,,
32,05/15/19 02:10:00 PM,86.823,5376.0,,,,
33,05/15/19 02:20:00 PM,93.304,7168.0,,,,
34,05/15/19 02:30:00 PM,91.987,6400.0,,,,
35,05/15/19 02:40:00 PM,87.915,3968.0,,,,
36,05/15/19 02:50:00 PM,88.650,5632.0,,,,
37,05/15/19 03:00:00 PM,89.938,4864.0,,,,
38,05/15/19 03:10:00 PM,92.363,4096.0,,,,
39,05/15/19 03:20:00 PM,88.099,3712.0,,,,
40,05/15/19 03:30:00 PM,87.004,3712.0,,,,
41,05/15/19 03:40:00 PM,89.200,4096.0,,,,
42,05/15/19 03:50:00 PM,89.384,3968.0,,,,
43,05/15/19 04:00:00 PM,90.680,4608.0,,,,
44,05/15/19 04:10:00 PM,87.186,3072.0,,,,
45,05/15/19 04:20:00 PM,83.935,3072.0,,,,
46,05/15/19 04:30:00 PM,82.686,3456.0,,,,
47,05/15/19 04:40:00 PM,81.266,3072.0,,,,
48,05/15/19 04:50:00 PM,81.442,3328.0,,,,
49,05/15/19 05:00:00 PM,81.090,2816.0,,,,
50,05/15/19 05:10:00 PM,79.502,2560.0,,,,
51,05/15/19 05:20:00 PM,77.225,2176.0,,,,
52,05/15/19 05:30:00 PM,76.354,1984.0,,,,
53,05/15/19 05:40:00 PM,75.832,1728.0,,,,
54,05/15/19 05:50:00 PM,75.659,1792.0,,,,
55,05/15/19 06:00:00 PM,74.791,1536.0,,,,
56,05/15/19 06:10:00 PM,73.753,1280.0,,,,
57,05/15/19 06:20:00 PM,72.891,1216.0,,,,
58,05/15/19 06:30:00 PM,72.028,992.0,,,,
59,05/15/19 06:40:00 PM,71.168,800.0,,,,
60,05/15/19 06:50:00 PM,70.137,512.0,,,,
61,05/15/19 07:00:00 PM,68.934,352.0,,,,
62,05/15/19 07:10:00 PM,67.906,288.0,,,,
63,05/15/19 07:20:00 PM,67.221,184.0,,,,
64,05/15/19 07:30:00 PM,66.537,74.0,,,,
65,05/15/19 07:40:00 PM,66.193,22.0,,,,
66,05/15/19 07:50:00 PM,66.022,4.0,,,,
67,05/15/19 08:00:00 PM,65.851,0.0,,,,
68,05/15/19 08:10:00 PM,65.167,0.0,,,,
69,05/15/19 08:20:00 PM,64.652,0.0,,,,
70,05/15/19 08:30:00 PM,64.652,0.0,,,,
71,05/15/19 08:40:00 PM,64.481,0.0,,,,
72,05/15/19 08:50:00 PM,63.968,0.0,,,,
73,05/15/19 09:00:00 PM,63.455,0.0,,,,
74,05/15/19 09:10:00 PM,63.111,0.0,,,,
75,05/15/19 09:20:00 PM,63.282,0.0,,,,
76,05/15/19 09:30:00 PM,62.598,0.0,,,,
77,05/15/19 09:40:00 PM,62.425,0.0,,,,
78,05/15/19 09:50:00 PM,61.741,0.0,,,,
79,05/15/19 10:00:00 PM,61.227,0.0,,,,
80,05/15/19 10:10:00 PM,62.598,0.0,,,,
81,05/15/19 10:20:00 PM,61.054,0.0,,,,
82,05/15/19 10:30:00 PM,59.164,0.0,,,,
83,05/15/19 10:40:00 PM,58.647,0.0,,,,
84,05/15/19 10:50:00 PM,56.923,0.0,,,,
85,05/15/19 11:00:00 PM,57.096,0.0,,,,
86,05/15/19 11:10:00 PM,56.404,0.0,,,,
87,05/15/19 11:20:00 PM,53.798,0.0,,,,
88,05/15/19 11:30:00 PM,56.057,0.0,,,,
89,05/15/19 11:40:00 PM,56.057,0.0,,,,
90,05/15/19 11:50:00 PM,60.368,0.0,,,,
91,05/16/19 12:00:00 AM,60.195,0.0,,,,
92,05/16/19 12:10:00 AM,59.851,0.0,,,,
93,05/16/19 12:20:00 AM,58.131,0.0,,,,
94,05/16/19 12:30:00 AM,57.441,0.0,,,,
95,05/16/19 12:40:00 AM,56.577,0.0,,,,
96,05/16/19 12:50:00 AM,54.147,0.0,,,,
97,05/16/19 01:00:00 AM,52.750,0.0,,,,
98,05/16/19 01:10:00 AM,51.523,0.0,,,,
99,05/16/19 01:20:00 AM,52.225,0.0,,,,
100,05/16/19 01:30:00 AM,52.050,0.0,,,,
101,05/16/19 01:40:00 AM,51.874,0.0,,,,
102,05/16/19 01:50:00 AM,57.096,0.0,,,,
103,05/16/19 02:00:00 AM,59.508,0.0,,,,
104,05/16/19 02:10:00 AM,60.195,0.0,,,,
105,05/16/19 02:20:00 AM,59.680,0.0,,,,
106,05/16/19 02:30:00 AM,57.096,0.0,,,,
107,05/16/19 02:40:00 AM,57.268,0.0,,,,
108,05/16/19 02:50:00 AM,57.785,0.0,,,,
109,05/16/19 03:00:00 AM,57.096,0.0,,,,
110,05/16/19 03:10:00 AM,58.131,0.0,,,,
111,05/16/19 03:20:00 AM,58.476,0.0,,,,
112,05/16/19 03:30:00 AM,57.096,0.0,,,,
113,05/16/19 03:40:00 AM,54.495,0.0,,,,
114,05/16/19 03:50:00 AM,54.322,0.0,,,,
115,05/16/19 04:00:00 AM,54.495,0.0,,,,
116,05/16/19 04:10:00 AM,55.017,0.0,,,,
117,05/16/19 04:20:00 AM,54.147,0.0,,,,
118,05/16/19 04:30:00 AM,51.874,0.0,,,,
119,05/16/19 04:40:00 AM,51.699,0.0,,,,
120,05/16/19 04:50:00 AM,50.995,0.0,,,,
121,05/16/19 05:00:00 AM,50.819,0.0,,,,
122,05/16/19 05:10:00 AM,49.759,0.0,,,,
123,05/16/19 05:20:00 AM,49.582,0.0,,,,
124,05/16/19 05:30:00 AM,49.404,6.0,,,,
125,05/16/19 05:40:00 AM,48.871,23.0,,,,
126,05/16/19 05:50:00 AM,48.871,95.0,,,,
127,05/16/19 06:00:00 AM,49.937,288.0,,,,
128,05/16/19 06:10:00 AM,50.643,448.0,,,,
129,05/16/19 06:20:00 AM,52.925,512.0,,,,
130,05/16/19 06:30:00 AM,54.322,576.0,,,,
131,05/16/19 06:40:00 AM,55.364,672.0,,,,
132,05/16/19 06:50:00 AM,56.750,896.0,,,,
133,05/16/19 07:00:00 AM,57.268,1152.0,,,,
134,05/16/19 07:10:00 AM,58.647,1152.0,,,,
135,05/16/19 07:20:00 AM,59.508,1280.0,,,,
136,05/16/19 07:30:00 AM,61.227,2304.0,,,,
137,05/16/19 07:40:00 AM,65.509,4608.0,,,,
138,05/16/19 07:50:00 AM,70.480,4608.0,,,,
139,05/16/19 08:00:00 AM,70.137,5888.0,,,,
140,05/16/19 08:10:00 AM,75.139,15360.0,,,,
141,05/16/19 08:20:00 AM,81.442,17408.0,,,,
142,05/16/19 08:30:00 AM,82.330,16384.0,,,,
143,05/16/19 08:40:00 AM,80.735,12288.0,,,,
144,05/16/19 08:50:00 AM,79.502,15872.0,,,,
145,05/16/19 09:00:00 AM,84.834,21504.0,,,,
146,05/16/19 09:10:00 AM,87.004,18432.0,,,,
147,05/16/19 09:20:00 AM,88.282,20480.0,,,,
148,05/16/19 09:30:00 AM,85.735,18432.0,,,,
149,05/16/19 09:40:00 AM,87.186,18432.0,,,,
