cactus_id,experiment,treatment,pollination_events,date
1,mimic,thirty,3,5/15/2019
2,mimic,pole,0,5/15/2019
3,mimic,zero,0,5/15/2019
4,mimic,fifteen,0,5/15/2019
5,mimic,thirty,1,5/16/2019
6,mimic,fifteen,1,5/16/2019
7,mimic,zero,3,5/16/2019
8,mimic,pole,2,5/16/2019
9,mimic,fifteen,1,5/17/2019
10,mimic,thirty,0,5/17/2019
11,mimic,pole,0,5/17/2019
12,mimic,zero,0,5/17/2019
13,mimic,pole,1,5/19/2019
14,mimic,fifteen,0,5/19/2019
15,mimic,zero,0,5/19/2019
16,mimic,thirty,2,5/19/2019
17,mimic,pole,0,5/20/2019
18,mimic,zero,0,5/20/2019
19,mimic,thirty,0,5/20/2019
20,mimic,fifteen,0,5/20/2019
21,mimic,pole,2,5/21/2019
22,mimic,fifteen,0,5/21/2019
23,mimic,zero,0,5/21/2019
24,mimic,thirty,1,5/21/2019
25,mimic,zero,0,5/23/2019
26,mimic,thirty,5,5/23/2019
27,mimic,fifteen,2,5/23/2019
28,mimic,pole,0,5/23/2019
29,mimic,pole,4,5/24/2019
30,mimic,zero,0,5/24/2019
31,mimic,thirty,0,5/24/2019
32,mimic,fifteen,1,5/24/2019
33,mimic,pole,0,5/25/2019
34,mimic,fifteen,2,5/25/2019
35,mimic,zero,0,5/25/2019
36,mimic,thirty,0,5/25/2019
37,mimic,thirty,0,5/26/2019
38,mimic,zero,0,5/26/2019
39,mimic,fifteen,1,5/26/2019
40,mimic,pole,1,5/26/2019
41,flower,pole,0,5/27/2019
42,flower,zero,0,5/28/2019
43,flower,fifteen,0,5/28/2019
44,flower,thirty,0,5/28/2019
45,flower,fifteen,0,5/29/2019
46,flower,thirty,0,5/29/2019
47,flower,zero,0,5/29/2019
48,flower,thirty,0,5/30/2019
49,flower,pole,4,5/30/2019
50,flower,fifteen,0,6/1/2019
51,flower,thirty,0,6/1/2019
52,flower,zero,0,6/1/2019
53,flower,pole,0,6/1/2019
54,flower,thirty,0,6/2/2019
55,flower,pole,2,6/2/2019
56,flower,fifteen,0,6/2/2019
57,flower,zero,0,6/2/2019
58,flower,fifteen,0,6/3/2019
59,flower,pole,0,6/3/2019
60,flower,thirty,0,6/3/2019
61,flower,zero,0,6/3/2019
62,flower,pole,3,6/4/2019
63,flower,fifteen,0,6/4/2019
64,flower,zero,0,6/4/2019
65,flower,pole,1,6/4/2019
66,flower,pole,0,6/5/2019
67,flower,fifteen,0,6/5/2019
68,flower,zero,0,6/5/2019
69,flower,thirty,0,6/5/2019
70,flower,thirty,0,6/6/2019
71,flower,zero,0,6/6/2019
72,flower,pole,0,6/6/2019
73,flower,fifteen,0,6/6/2019
74,flower,pole,1,6/7/2019
75,flower,zero,0,6/7/2019
76,flower,fifteen,0,6/7/2019
77,flower,thirty,0,6/7/2019
78,flower,fifteen,0,6/8/2019
79,flower,zero,0,6/8/2019
80,flower,thirty,0,6/8/2019
81,flower,pole,1,6/8/2019
