cactus.id,tag,,lat,lon,x,y,z,volume,newgrowth,health,branches,transect,meter,distance,blooms,buds,fruits,nest,notes
1,400,,34.78159,-115.66252,53,49,52,135044,15,5,210,1,5,1,y,100,32,n,
2,399,,34.78162,-115.6625,71,60,55,234300,20,3,500,1,10,0,y,90,21,n,
3,398,,34.78164,-115.66244,20,13,23,5980,18,5,50,1,15,2,n,0,0,n,
4,397,,34.78157,-115.66238,120,103,85,1050600,100,4,1000,1,20,4,y,390,156,y,
5,396,,34.78162,-115.6623,9,5,26,1170,3,5,10,1,25,0,n,0,0,n,
6,395,,34.78164,-115.66223,82,63,4,20664,75,4,600,1,30,0,y,600,42,n,
7,394,,34.78164,-115.66218,70,57,54,215460,15,3,400,1,35,3,y,375,13,n,
8,393,,34.78165,-115.66212,53,43,61,139019,45,4,200,1,40,0,y,110,36,n,
9,392,,34.78159,-115.66207,20,19,28,10640,15,5,25,1,45,3,n,0,0,n,
10,391,,34.78161,-115.66212,28,25,46,32200,45,4,50,1,50,3,n,1,0,n,
11,390,,34.78156,-115.66202,90,77,59,408870,140,3,700,1,55,5,y,600,120,n,
12,389,,34.78167,-115.66198,26,22,21,12012,25,5,50,1,60,0,y,5,2,n,
13,388,,34.78164,-115.66196,37,28,30,31080,15,5,70,1,65,0,y,25,18,n,
14,387,,34.78159,-115.66194,40,26,25,26000,20,5,80,1,70,5,y,15,12,n,
15,386,,34.78162,-115.66191,30,29,36,31320,5,5,400,1,75,0,y,300,3,n,
16,385,,34.78166,-115.66187,40,34,33,44880,25,4,220,1,80,2,y,60,5,n,
17,384,,34.78162,-115.66185,27,14,30,11340,13,5,25,1,85,1,n,0,0,n,
18,383,,34.7816,-115.6618,28,25,25,17500,15,5,80,1,90,0,y,55,11,n,all fruit eaten did not weigh
19,382,,34.78165,-115.66171,91,77,55,385385,120,2,1400,1,95,0,y,200,150,n,
20,381,,34.78164,-115.66168,17,12,34,6936,15,5,30,1,100,0,y,0,0,n,
21,380,,34.78153,-115.66167,90,80,69,496800,130,4,1800,2,5,3,y,250,110,n,
22,379,,34.78149,-115.66171,50,48,45,108000,20,5,450,2,10,1,y,500,125,n,
23,378,,34.7815,-115.66177,45,42,49,92610,20,5,400,2,15,3,y,130,60,y,
24,377,,34.78147,-115.66179,54,47,47,119286,30,4,350,2,20,3,y,30,75,y,
25,376,,34.78152,-115.66187,41,28,40,45920,10,5,80,2,25,5,y,20,17,n,
26,375,,34.78149,-115.6619,22,11,20,4840,5,4,20,2,30,0,n,0,0,n,
27,374,,34.78146,-115.66195,45,41,47,86715,15,4,230,2,35,4,y,120,97,n,
28,373,,34.78149,-115.66198,64,60,63,241920,25,5,170,2,40,2,y,135,65,n,
29,372,,34.78149,-115.66199,51,52,55,145860,50,5,250,2,45,0,y,125,100,n,
30,371,,34.78149,-115.66199,46,47,40,86480,10,5,160,2,50,0,y,115,50,n,
31,370,,34.78146,-115.66206,67,67,65,291785,20,4,250,2,55,2,y,135,125,n,
32,369,,34.78146,-115.66216,121,104,68,855712,20,2,1200,2,60,1,y,200,105,n,
33,368,,34.7815,-115.66219,93,64,46,273792,70,1,750,2,65,0,y,110,33,n,
34,367,,34.7815,-115.66223,17,15,23,5865,15,5,25,2,70,0,y,1,1,n,
35,366,,34.78151,-115.66225,34,26,35,30940,20,5,60,2,75,0,y,15,9,n,
36,365,,34.78154,-115.66229,76,51,59,228684,15,5,450,2,80,4,y,100,150,n,
37,364,,34.7815,-115.66237,37,24,42,37296,1,5,80,2,85,0,y,40,26,n,
38,363,,34.78149,-115.66245,63,40,48,120960,30,5,350,2,90,0,y,125,55,n,
39,362,,34.78149,-115.66248,23,22,40,20240,25,5,50,2,95,1,n,0,0,n,
40,361,,34.78154,-115.6625,43,39,49,82173,45,5,170,2,100,2,y,20,13,n,
41,360,,34.7814,-115.66259,13,13,31,5239,2,5,15,3,5,2,n,0,0,n,
42,359,,34.78158,-115.66253,42,37,37,57498,40,5,200,3,10,5,y,30,30,n,double check coordinates in GPS
43,358,,34.78144,-115.66251,90,71,53,338670,10,4,650,3,15,0,y,500,140,n,
44,357,,34.78141,-115.66248,45,31,40,55800,15,5,250,3,20,2,y,220,57,n,
45,356,,34.78144,-115.66244,77,70,49,264110,20,5,1100,3,25,1,y,300,260,y,
46,355,,34.78145,-115.66235,41,34,45,62730,15,5,250,3,30,5,y,60,42,n,
47,354,,34.78136,-115.66232,71,57,54,218538,25,2,900,3,35,5,y,190,133,n,half of plant fallen over and dead did not count fleshless branches in measurements
48,353,,34.78133,-115.66225,34,29,34,33524,30,5,110,3,40,5,n,0,0,n,
49,352,,34.78136,-115.66223,15,9,25,3375,10,5,20,3,45,4,n,0,0,n,
50,351,,34.78134,-115.6622,25,18,29,13050,12,5,35,3,50,5,y,2,2,n,
51,350,,34.78136,-115.66216,82,79,59,382202,10,3,520,3,55,0,y,130,255,n,
52,349,,34.7813,-115.66215,48,32,46,70656,15,5,50,3,60,5,y,2,2,n,
53,345,,34.78134,-115.66209,51,36,57,104652,40,5,250,3,65,2,y,60,74,n,
54,344,,34.78133,-115.66201,57,47,52,139308,15,4,450,3,70,3,y,300,37,n,
55,343,,34.78138,-115.66196,34,29,47,46342,15,5,100,3,75,3,y,10,10,n,
56,342,,34.78134,-115.66193,52,40,44,91520,75,5,250,3,80,1,y,20,17,n,
57,341,,34.7813,-115.66187,72,71,46,235152,110,4,650,3,85,5,y,200,136,n,
58,340,,34.7813,-115.66187,58,46,53,141404,15,4,210,3,90,0,y,100,70,n,
59,339,,34.78136,-115.66178,11,10,29,3190,1,5,30,3,95,2,n,0,0,n,
60,338,,34.78134,-115.66168,48,47,52,117312,10,5,300,3,100,3,y,65,57,n,
