rep,week,date,mode,mesohabitat,setuptime,lat,long,burrows,x,y,z,notes
PS101,1,10-May,photo,shrub,9:10,35.1193,-119.62945,1,407,396,152,photo cams are on Site 4
PS201,1,10-May,photo,shrub,9:17,35.11904,-119.62965,1,507,346,157,video cams are on Site 3
PS301,1,10-May,photo,shrub,9:25,35.11989,-119.62915,1,567,358,158,
PS401,1,10-May,photo,shrub,9:30,35.12015,-119.62912,1,337,231,167,
PS501,1,10-May,photo,shrub,9:36,35.12008,-119.62864,1,334,195,142,
PS601,1,10-May,photo,shrub,9:40,35.11967,-119.62868,1,366,270,94,
PS701,1,10-May,photo,shrub,9:48,35.1191,-119.62937,1,561,281,131,
PS801,1,10-May,photo,shrub,9:52,35.1188,-119.62964,1,362,309,141,
PO101,1,10-May,video,open,9:10,35.1193,-119.62945,1,407,396,152,
PO201,1,10-May,video,open,9:17,35.11904,-119.62965,1,507,346,157,
PO301,1,10-May,video,open,9:25,35.11989,-119.62915,1,567,358,158,
PO401,1,10-May,video,open,9:30,35.12015,-119.62912,1,337,231,167,
PO501,1,10-May,video,open,9:36,35.12008,-119.62864,1,334,195,142,
PO601,1,10-May,video,open,9:40,35.11967,-119.62868,1,366,270,94,
PO701,1,10-May,video,open,9:48,35.1191,-119.62937,1,561,281,131,
PO801,1,10-May,video,open,9:52,35.1188,-119.62964,1,362,309,141,
VS101,1,11-May,photo,shrub,9:37,35.16307,-119.67397,1,520,290,153,
VS201,1,11-May,photo,shrub,9:48,35.16328,-119.67406,1,408,344,106,
VS301,1,11-May,photo,shrub,9:55,35.16363,-119.6738,1,217,202,151,
VS401,1,11-May,photo,shrub,9:59,35.16338,-119.6338,0,264,194,122,
VS501,1,11-May,photo,shrub,10:10,35.16257,-119.6741,1,433,301,157,
VS601,1,11-May,photo,shrub,10:14,35.16282,-119.67445,0,302,260,114,
VS701,1,11-May,photo,shrub,10:17,35.16255,-119.67483,1,263,239,115,
VS801,1,11-May,photo,shrub,10:20,35.16238,-119.67463,1,266,262,130,
VO101,1,11-May,video,open,9:37,35.16307,-119.67397,1,520,290,153,
VO201,1,11-May,video,open,9:48,35.16328,-119.67406,1,408,344,106,
VO301,1,11-May,video,open,9:55,35.16363,-119.6738,1,217,202,151,
