rep,cam.rep,lat,long,X,y,z,time,burrow,SD ID,week,week letter,shrub.open,mode.photo.video
PAS1,1,35.11489,-119.61868,425,381,170,1000,3,PS1,1,A,S,P
PAO1,1,35.11489,-119.61868,425,381,170,1000,3,SD4,1,A,O,P
PAS2,2,35.11493,-119.6188,310,256,154,1011,5,20,1,A,S,P
PAO2,2,35.11493,-119.6188,310,256,154,1011,5,PO2,1,A,O,P
PAS3,3,35.11472,-119.61887,244,222,106,1020,0,PO5,1,A,S,P
PAO3,3,35.11472,-119.61887,244,222,106,1020,0,PS4,1,A,O,P
PAS4,4,35.11465,-119.6189,286,198,86,1031,0,27T4,1,A,S,P
PAO4,4,35.11465,-119.6189,286,198,86,1031,0,13,1,A,O,P
PAS5,5,35.11472,-119.619,430,243,153,1036,2,PS8,1,A,S,P
PAO5,5,35.11472,-119.619,430,243,153,1036,2,T43,1,A,O,P
PAS7,7,35.11472,-119.61911,336,300,110,1056,3,PS6,1,A,S,P
PAO7,7,35.11472,-119.61911,336,300,110,1056,3,PO4,1,A,O,P
PAS8,8,35.1148,-119.61909,226,220,106,1101,0,PS2,1,A,S,P
PAO8,8,35.1148,-119.61909,226,220,106,1101,0,13E,1,A,O,P
PAS9,9,35.11475,-119.61929,370,260,135,1120,2,PO1,1,A,S,P
PAO9,9,35.11475,-119.61929,370,260,135,1120,2,PO6 check SD,1,A,O,P
PAS10,10,35.11494,-119.61923,241,226,111,1127,3,PS7,1,A,S,P
PAO10,10,35.11494,-119.61923,241,226,111,1127,3,PO3,1,A,O,P
PBS1,1,35.11515,-119.61954,596,390,158,1340,3,PS1,2,B,S,P
PBO1,1,35.11515,-119.61954,596,390,158,1340,3,SD4,2,B,O,P
PBS2,2,35.11504,-119.61957,330,327,137,1459,5,20,2,B,S,P
PBO2,2,35.11504,-119.61957,330,327,137,1459,5,PO2,2,B,O,P
PBS3,3,35.11493,-119.61953,330,300,144,1432,2,PO5,2,B,S,P
PBO3,3,35.11493,-119.61953,330,300,144,1432,2,PS4,2,B,O,P
PBS4,4,35.11488,-119.61971,387,355,150,1440,0,27T4,2,B,S,P
PBO4,4,35.11488,-119.61971,387,355,150,1440,0,13,2,B,O,P
PBS5,5,35.11501,-119.61988,360,290,142,1449,1,unknown,2,B,S,P
PBO5,5,35.11501,-119.61988,360,290,142,1449,1,T43,2,B,O,P
PBS7,7,35.11516,-119.62006,340,240,141,1402,4,PS6,2,B,S,P
PBO7,7,35.11516,-119.62006,340,240,141,1402,4,PO4,2,B,O,P
PBS8,8,35.11526,-119.61982,407,347,140,1421,2,PS2,2,B,S,P
PBO8,8,35.11526,-119.61982,407,347,140,1421,2,13E,2,B,O,P
PBS9,9,35.11532,-119.6198,444,410,1377,1410,1,PO1,2,B,S,P
PBO9,9,35.11532,-119.6198,444,410,1377,1410,1,PO6,2,B,O,P
PBS10,10,35.11542,-119.61977,403,300,156,1354,0,PS7,2,B,S,P
PBO10,10,35.11542,-119.61977,403,300,156,1354,0,PO3,2,B,O,P
PCS1,1,35.11548,-119.61973,290,250,124,1715,2,ps2,3,C,S,P
PCO1,1,35.11548,-119.61973,290,250,124,1715,2,13e,3,C,O,P
PCS2,2,35.11543,-119.6199,370,340,155,124,4,ps7,3,C,S,P
PCO2,2,35.11543,-119.6199,370,340,155,124,4,po3,3,C,O,P
PCS3,3,35. 11537,-119.61993,300,300,152,1732,1,20,3,C,S,P
PCO3,3,35. 11538,-119.61993,300,300,152,1732,1,po2,3,C,O,P
PCS4,4,35.11543,-119.61998,290,240,102,1739,2,13,3,C,S,P
PCO4,4,35.11543,-119.61998,290,240,102,1739,2,27t4-6,3,C,O,P
PCS5,5,35.11547,-119.61999,190,160,97,1747,0,ps8,3,C,S,P
PCO5,5,35.11547,-119.61999,190,160,97,1747,0,t43,3,C,O,P
PCS7,7,35.11554,-119.62028,410,260,130,1756,2,po1,3,C,S,P
PCO7,7,35.11554,-119.62028,410,260,130,1756,2,po6,3,C,O,P
PCS8,8,35.11546,-119.62037,120,110,100,1827,1,ps4,3,C,S,P
PCO8,8,35.11546,-119.62037,120,110,100,1827,1,po5,3,C,O,P
PCS9,9,35.11543,-119.62035,220,160,135,1815,5,ps6,3,C,S,P
PCO9,9,35.11543,-119.62035,220,160,135,1815,5,po4,3,C,O,P
PCS10,10,35.11539,-119.62036,180,180,90,1823,0,ps1,3,C,S,P
PCO10,10,35.11539,-119.62036,180,180,90,1823,0,4,3,C,O,P
