year,region,site,rep,lat,long
2018,CNM,Swain Site Cam ,1,35.08295,-119.65856
2018,CNM,Swain Site Cam ,2,35.08304,-119.65829
2018,CNM,Swain Site Cam ,3,35.08324,-119.65819
2018,CNM,Swain Site Cam ,4,35.08319,-119.65809
2018,CNM,Swain Site Cam ,5,35.08322,-119.65799
2018,CNM,Swain Site Cam ,6,35.08328,-119.65803
2018,CNM,Swain Site Cam ,7,35.08333,-119.67799
2018,CNM,Swain Site Cam ,8,35.08332,-119.65799
2018,CNM,Swain Site Cam ,9,35.08322,-119.657484
2018,CNM,Swain Site Cam ,10,35.08318,-119.65793
2018,CNM,Centre Well ,11,35.12399,-119.74545
2018,CNM,Centre Well ,12,35.12408,-119.74542
2018,CNM,Centre Well ,13,35.12403,-119.74525
2018,CNM,Centre Well ,14,35.12398,-119.74519
2018,CNM,Centre Well ,15,35.12397,-119.74505
2018,CNM,Centre Well ,16,35.12407,-119.74514
2018,CNM,Centre Well ,17,35.12411,-119.74519
2018,CNM,Centre Well ,18,35.12417,-119.74519
2018,CNM,Centre Well ,19,35.12418,-119.74535
2018,CNM,Centre Well ,20,35.12424,-119.74526
2018,CNM,Centre Well ,21,35.12435,-119.74525
2018,CNM,Centre Well ,22,35.12433,-119.74515
2018,CNM,Centre Well ,23,35.1244,-119.74526
2018,CNM,Centre Well ,24,35.12452,-119.745
2018,CNM,Centre Well ,25,35.12446,-119.745
2018,CNM,Centre Well ,26,35.12436,-119.74478
2018,CNM,Centre Well ,27,35.12437,-119.74471
2018,CNM,Centre Well ,28,35.12423,-119.74499
2018,CNM,Centre Well ,29,35.12405,-119.7455
2018,CNM,Centre Well ,30,35.12418,-119.4519
