unique_bird,bird_id,date,season,walk,start_time,end_time,lat,lon,order,family,species,migratory_class,trophic_guild,behavior,broad_behavior,mesohabitat,two.mesohabitat,three.mesohabitat,five.mesohabitat,mesohabitat_height,photo_id,time,distance,transect,transect_start_lat,transect_start_lon,transect_end_lat,transect_end_lon,notes
1flower,1,5/1/2019,spring,1,10:27,12:27,,,Columbiformes,Columbidae,Mourning Dove,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,10:27,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
2flower,2,5/1/2019,spring,1,10:27,12:27,,,Passeriformes,Troglodytidae,Canyon Wren,,insectivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,10:29,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
3flower,3,5/1/2019,spring,1,10:27,12:27,34.78404,-115.66031,Passeriformes,Ptiliogonatidae,Phainopepla,,frugivore,Flying,Active movement,air,non vegetation,other,air,na,no photo,10:37,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
4flower,4,5/1/2019,spring,1,10:27,12:27,34.7829,-115.66235,Columbiformes,Columbidae,Mourning Dove,,granivore,Standing on ground,Inactive,rock,non vegetation,other,land,na,no photo,10:37,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
5flower,5,5/1/2019,spring,1,10:27,12:27,34.7823,-115.66251,Passeriformes,Ptiliogonatidae,Phainopepla,,frugivore,Flying between plants,Active movement,cactus canopy,vegetation,cactus,cactus,na,no photo,10:42,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
6flower,6,5/1/2019,spring,1,10:27,12:27,34.78244,-115.66246,Passeriformes,Ptiliogonatidae,Phainopepla,,frugivore,Singing,Territorial or mating behavior,cactus canopy,vegetation,cactus,cactus,na,4-Jan,10:48,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
7flower,7,5/1/2019,spring,1,10:27,12:27,34.78238,-115.66262,Passeriformes,Fringillidae,House Finch,,frugivore,Standing on plant,Inactive,cactus canopy,vegetation,cactus,cactus,na,8-May,10:52,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
8flower,8,5/1/2019,spring,1,10:27,12:27,34.78224,-115.66208,Unknown,Unknown,Unknown,,Unknown,Flying,Active movement,rock,non vegetation,other,land,na,12-Sep,10:55,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
9flower,9,5/1/2019,spring,1,10:27,12:27,34.7823,-115.66251,Passeriformes,Hirundinidae,Violet.green Swallow,,insectivore,Flying,Active movement,air,non vegetation,other,air,na,13.14,10:57,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
10flower,10,5/1/2019,spring,1,10:27,12:27,,,Columbiformes,Columbidae,Mourning Dove,,granivore,Singing,Territorial or mating behavior,no visual,,,,na,no photo,10:58,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
