bird_id,date,season,walk,start_time,end_time,lat,lon,order,family,species,trophic_guild,behavior,broad_behavior,mesohabitat,photo_id,time,distance,transect,transect_start_lat,transect_start_lon,transect_end_lat,transect_end_lon,notes
1,5/1/2019,flower,1,10:27,12:27,,,Columbiformes,Columbidae,Mourning Dove,,Singing,Vocalization,no visual,no photo,10:27,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
2,5/1/2019,flower,1,10:27,12:27,,,Passeriformes,Troglodytidae,Canyon Wren,,Singing,Vocalization,no visual,no photo,10:29,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
3,5/1/2019,flower,1,10:27,12:27,34.78404,-115.66031,Passeriformes,Ptiliogonatidae,Phainopepla,,Flying,Active movement,air,no photo,10:37,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
4,5/1/2019,flower,1,10:27,12:27,34.7829,-115.66235,Columbiformes,Columbidae,Mourning Dove,,Standing on Ground,Inactive,rock,no photo,10:37,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
5,5/1/2019,flower,1,10:27,12:27,34.7823,-115.66251,Passeriformes,Ptiliogonatidae,Phainopepla,,Flying Between Plants,Active movement,cactus canopy,no photo,10:42,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
6,5/1/2019,flower,1,10:27,12:27,34.78244,-115.66246,Passeriformes,Ptiliogonatidae,Phainopepla,,Singing,Vocalization,cactus canopy,4-Jan,10:48,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
7,5/1/2019,flower,1,10:27,12:27,34.78238,-115.66262,Passeriformes,Fringillidae,House Finch,,Sitting on Plant,Inactive,cactus canopy,8-May,10:52,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
8,5/1/2019,flower,1,10:27,12:27,34.78224,-115.66208,Unknown,Unknown,Unknown,Unknown,Flying,Active movement,rock,12-Sep,10:55,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
9,5/1/2019,flower,1,10:27,12:27,34.7823,-115.66251,Passeriformes,Hirundinidae,Violet.green Swallow,,Flying,Active movement,air,13.14,10:57,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
10,5/1/2019,flower,1,10:27,12:27,,,Columbiformes,Columbidae,Mourning Dove,,Singing,Vocalization,no visual,no photo,10:58,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
11,5/1/2019,flower,1,10:27,12:27,34.78249,-115.66231,Unknown,Unknown,Unknown,Unknown,Flying on Plant,Active movement,shrub,15.21,11:02,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
12,5/1/2019,flower,1,10:27,12:27,34.78225,-115.66197,Passeriformes,Ptiliogonatidae,Phainopepla,,Sitting on Plant,Inactive,shrub,21.25,11:07,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
13,5/1/2019,flower,1,10:27,12:27,34.78205,-115.66205,Apodiformes,Trochilidae,Hummingbird,nectarivore,Foraging,Foraging,cactus canopy,no photo,11:08,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
14,5/1/2019,flower,1,10:27,12:27,34.782,-115.66183,Passeriformes,Mimidae,Northern Mockingbird,,Sitting on Plant,Inactive,shrub,92.31,11:15,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
15,5/1/2019,flower,1,10:27,12:27,34.78204,-115.66185,Unknown,Unknown,Unknown,Unknown,Standing on Ground,Inactive,rock,32.39,11:18,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
16,5/1/2019,flower,1,10:27,12:27,34.78215,-115.66238,Passeriformes,Ptiliogonatidae,Phainopepla,,Flying Between Plants,Active movement,shrub,no photo,11:26,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
17,5/1/2019,flower,1,10:27,12:27,34.78228,-115.66245,Passeriformes,Passerellidae,Black.throated Sparrow,,Singing,Vocalization,cactus canopy,no photo,11:27,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
18,5/1/2019,flower,1,10:27,12:27,34.78241,-115.66244,Columbiformes,Columbidae,Mourning Dove,,Calling,Vocalization,rock,no photo,11:28,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
19,5/1/2019,flower,1,10:27,12:27,,,Passeriformes,Troglodytidae,Canyon Wren,,Singing,Vocalization,no visual,no photo,11:28,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
20,5/1/2019,flower,1,10:27,12:27,,,Passeriformes,Passerellidae,Black.throated Sparrow,,Singing,Vocalization,no visual,no photo,11:31,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
21,5/1/2019,flower,1,10:27,12:27,34.78164,-115.66261,Columbiformes,Columbidae,Mourning Dove,,Flying,Active movement,air,no photo,11:34,1,1,34.78299,-115.66235,34.77833,.115.66293,no notes
22,5/1/2019,flower,1,10:27,12:27,,,Passeriformes,Passerellidae,Black.throated Sparrow,,Singing,Vocalization,no visual,no photo,11:34,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
23,5/1/2019,flower,1,10:27,12:27,34.78138,-115.256,Passeriformes,Mimidae,Northern Mockingbird,,Singing,Vocalization,cactus canopy,40.43,11:34,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
24,5/1/2019,flower,1,10:27,12:27,34.78145,-115.66306,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,Singing,Vocalization,shrub,44.66,11:42,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
25,5/1/2019,flower,1,10:27,12:27,34.78145,-115.66306,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,Singing,Vocalization,shrub,44.66,11:42,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
26,5/1/2019,flower,1,10:27,12:27,34.78145,-115.66306,Passeriformes,Polioptilidae,Blue.gray Gnatcatcher,,Singing,Vocalization,shrub,44.66,11:42,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
27,5/1/2019,flower,1,10:27,12:27,34.78145,-115.66306,Unknown,Unknown,Unknown,Unknown,Standing on Ground,Inactive,rock,44.66,11:42,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
28,5/1/2019,flower,1,10:27,12:27,,,Passeriformes,Troglodytidae,Canyon Wren,,Singing,Vocalization,no visual,no photo,11:52,3,1,34.78299,-115.66235,34.77833,.115.66293,no notes
29,5/1/2019,flower,1,10:27,12:27,34.78096,-115.66263,Passeriformes,Mimidae,Northern Mockingbird,,Flying,Active movement,cactus canopy,no photo,11:55,2,1,34.78299,-115.66235,34.77833,.115.66293,no notes
