"","Hour of Day Ending at LST","Total Solar Rad  ly"," Wind Ave mph"," Wind V Dir Deg"," Wind Max mph","Air Temperature Mean Deg F","Soil Temperature Mean Deg F","Relative Humidity Mean Perent"," Dew Point Deg F"," Wet Bulb Deg F"," Baro Press in Hg"," Total Preip inhes","day","month","year"
"5","1 am","0.0","8.6","310","12.8","54.3","59.4","22","16","38","25.76","0.00",1,"04","19"
"6","2 am","0.0","7.3","310","12.7","54.5","59.0","21","16","39","25.75","0.00",1,"04","19"
"7","3 am","0.0","7.9","313","11.8","54.3","58.6","21","16","38","25.74","0.00",1,"04","19"
"8","4 am","0.0","4.6","300","10.7","51.6","58.2","24","16","37","25.74","0.00",1,"04","19"
"9","5 am","0.0","3.0","286","5.0","46.0","57.8","29","16","34","25.74","0.00",1,"04","19"
"10","6 am","0.7","2.6","350","6.7","48.3","57.4","22","12","34","25.75","0.00",1,"04","19"
"11","7 am","14.1","2.9","33","7.4","57.1","56.9","17","13","39","25.76","0.00",1,"04","19"
"12","8 am","28.2","5.6","105","14.9","59.8","56.4","17","15","41","25.76","0.00",1,"04","19"
"13","9 am","49.3","8.7","103","16.1","60.9","56.0","18","17","42","25.77","0.00",1,"04","19"
"14","10 am","57.2","7.0","105","13.3","62.5","55.8","17","17","43","25.77","0.00",1,"04","19"
"15","11 am","66.6","7.2","119","17.2","63.5","55.7","17","17","43","25.76","0.00",1,"04","19"
"16","12 pm","65.9","6.5","118","14.5","63.9","56.0","15","16","43","25.75","0.00",1,"04","19"
"17","1 pm","59.2","4.5","135","14.5","64.4","56.5","14","14","43","25.73","0.00",1,"04","19"
"18","2 pm","60.7","5.5","125","14.8","65.4","57.3","14","14","43","25.71","0.00",1,"04","19"
"19","3 pm","44.0","4.3","135","12.3","65.8","58.2","13","14","43","25.69","0.00",1,"04","19"
"20","4 pm","36.7","3.8","124","12.8","65.2","59.1","13","13","43","25.67","0.00",1,"04","19"
"21","5 pm","19.2","3.0","120","8.0","64.5","59.9","13","12","43","25.66","0.00",1,"04","19"
"22","6 pm","4.0","2.3","118","6.1","61.4","60.6","14","11","41","25.66","0.00",1,"04","19"
"23","7 pm","0.0","0.9","314","3.0","54.9","61.1","21","16","39","25.65","0.00",1,"04","19"
"24","8 pm","0.0","1.4","288","2.9","53.1","61.2","24","17","38","25.66","0.00",1,"04","19"
"25","9 pm","0.0","2.2","287","3.7","51.1","61.1","27","18","37","25.66","0.00",1,"04","19"
"26","10 pm","0.0","3.2","289","4.4","51.3","60.8","26","18","37","25.66","0.00",1,"04","19"
"27","11 pm","0.0","2.9","287","4.5","53.9","60.4","23","17","38","25.65","0.00",1,"04","19"
"28","12 am","0.0","2.5","286","4.9","54.6","60.0","23","17","39","25.65","0.00",1,"04","19"
"51","1 am","0.0","2.6","279","4.4","50.7","59.6","28","19","37","25.63","0.00",2,"04","19"
"61","2 am","0.0","3.8","274","8.2","54.3","59.1","27","21","40","25.62","0.00",2,"04","19"
"71","3 am","0.0","2.4","281","5.4","55.1","58.7","30","24","41","25.60","0.00",2,"04","19"
"81","4 am","0.0","1.7","272","3.9","52.1","58.3","35","25","40","25.59","0.00",2,"04","19"
"91","5 am","0.0","2.2","271","5.5","52.4","57.8","32","23","39","25.58","0.00",2,"04","19"
"101","6 am","0.6","3.1","274","5.6","52.5","57.4","33","24","40","25.59","0.00",2,"04","19"
