"","Hour of Day Ending at LST","Total Solar Rad  ly"," Wind Ave mph"," Wind V Dir Deg"," Wind Max mph","Air Temperature Mean Deg F","Soil Temperature Mean Deg F","Relative Humidity Mean Perent"," Dew Point Deg F"," Wet Bulb Deg F"," Baro Press in Hg"," Total Preip inhes","day","month","year"
"5","1 am","0.0","2.4","298","4.5","74.9","96.3","40","49","59","25.78","0.00",1,"08","19"
"6","2 am","0.0","1.1","107","3.5","73.2","95.7","43","49","58","25.77","0.00",1,"08","19"
"7","3 am","0.0","1.7","282","4.5","72.4","95.1","44","49","58","25.77","0.00",1,"08","19"
"8","4 am","0.0","2.1","265","4.0","73.4","94.4","42","49","58","25.78","0.00",1,"08","19"
"9","5 am","0.1","2.9","279","4.7","71.5","93.8","45","49","57","25.79","0.00",1,"08","19"
"10","6 am","4.5","2.3","282","4.6","72.5","93.1","39","46","56","25.80","0.00",1,"08","19"
"11","7 am","22.5","1.9","101","5.8","81.9","92.3","31","48","61","25.82","0.00",1,"08","19"
"12","8 am","40.2","3.0","95","7.5","84.0","91.6","24","43","59","25.83","0.00",1,"08","19"
"13","9 am","56.2","3.8","115","16.4","85.9","91.1","23","44","60","25.83","0.00",1,"08","19"
"14","10 am","69.4","3.7","162","9.3","86.8","90.7","23","44","60","25.84","0.00",1,"08","19"
"15","11 am","78.0","3.9","185","12.1","88.0","90.5","22","45","61","25.84","0.00",1,"08","19"
"16","12 pm","82.2","3.9","178","13.1","89.3","90.5","20","43","61","25.83","0.00",1,"08","19"
"17","1 pm","81.2","3.8","215","12.6","91.0","90.9","18","42","61","25.81","0.00",1,"08","19"
"18","2 pm","76.6","5.5","182","14.4","91.6","91.8","16","39","60","25.79","0.00",1,"08","19"
"19","3 pm","66.8","5.0","217","14.6","92.4","92.9","14","36","59","25.78","0.00",1,"08","19"
"20","4 pm","52.4","5.6","232","13.5","92.9","94.1","12","33","59","25.76","0.00",1,"08","19"
"21","5 pm","35.2","4.8","194","12.6","92.5","95.3","12","33","58","25.75","0.00",1,"08","19"
"22","6 pm","14.1","2.8","206","9.5","91.2","96.5","14","35","58","25.75","0.00",1,"08","19"
"23","7 pm","0.8","1.9","226","8.0","86.8","97.3","18","38","58","25.75","0.00",1,"08","19"
"24","8 pm","0.0","2.3","260","7.2","84.3","97.9","20","39","58","25.76","0.00",1,"08","19"
"25","9 pm","0.0","2.0","287","3.7","81.5","98.1","23","40","57","25.77","0.00",1,"08","19"
"26","10 pm","0.0","3.1","292","13.5","81.4","98.1","22","38","56","25.78","0.00",1,"08","19"
"27","11 pm","0.0","12.0","326","20.4","82.4","97.7","14","28","53","25.78","0.00",1,"08","19"
"28","12 am","0.0","15.4","314","26.3","80.2","97.2","14","27","53","25.77","0.00",1,"08","19"
"51","1 am","0.0","14.8","316","25.7","79.5","96.7","14","26","52","25.76","0.00",2,"08","19"
"61","2 am","0.0","16.4","310","25.5","78.7","96.1","14","26","52","25.76","0.00",2,"08","19"
"71","3 am","0.0","15.3","309","23.4","78.2","95.4","15","26","51","25.76","0.00",2,"08","19"
"81","4 am","0.0","13.9","311","23.1","78.1","94.8","15","26","51","25.76","0.00",2,"08","19"
"91","5 am","0.1","12.8","312","20.2","78.1","94.2","15","26","51","25.77","0.00",2,"08","19"
"101","6 am","4.5","9.4","310","15.4","79.1","93.5","15","27","52","25.78","0.00",2,"08","19"
"111","7 am","20.9","8.4","309","14.8","82.4","92.9","14","28","54","25.80","0.00",2,"08","19"
"121","8 am","40.1","6.4","310","12.6","86.5","92.2","13","30","56","25.80","0.00",2,"08","19"
"131","9 am","56.7","4.1","303","11.5","89.3","91.8","13","32","57","25.81","0.00",2,"08","19"
"141","10 am","70.0","4.1","194","11.1","90.8","91.4","13","33","58","25.81","0.00",2,"08","19"
"151","11 am","76.8","4.5","174","15.3","91.9","91.2","14","35","59","25.81","0.00",2,"08","19"
"161","12 pm","80.6","4.2","141","13.4","92.8","91.2","14","37","60","25.81","0.00",2,"08","19"
"171","1 pm","83.5","4.4","208","16.7","93.0","91.7","14","37","60","25.80","0.00",2,"08","19"
"181","2 pm","77.2","4.8","207","17.0","93.7","92.5","14","38","60","25.79","0.00",2,"08","19"
"191","3 pm","60.8","5.4","183","18.1","93.6","93.6","14","38","60","25.77","0.00",2,"08","19"
"201","4 pm","52.9","5.2","232","13.2","94.4","94.8","13","37","60","25.75","0.00",2,"08","19"
"211","5 pm","31.0","4.0","231","12.9","93.7","96.0","12","34","59","25.73","0.00",2,"08","19"
"221","6 pm","11.8","3.1","240","8.5","92.3","97.1","13","34","59","25.73","0.00",2,"08","19"
"231","7 pm","0.6","2.8","243","7.6","88.3","98.0","14","33","57","25.73","0.00",2,"08","19"
"241","8 pm","0.0","2.3","278","6.9","85.0","98.5","16","33","56","25.75","0.00",2,"08","19"
"251","9 pm","0.0","5.5","292","10.0","84.7","98.7","15","32","56","25.76","0.00",2,"08","19"
"261","10 pm","0.0","9.5","324","17.9","85.6","98.6","13","29","55","25.76","0.00",2,"08","19"
"271","11 pm","0.0","13.5","310","21.7","84.5","98.2","11","25","53","25.76","0.00",2,"08","19"
"281","12 am","0.0","12.3","312","20.0","83.7","97.8","12","26","53","25.76","0.00",2,"08","19"
"52","1 am","0.0","10.2","310","16.9","83.1","97.2","13","26","53","25.75","0.00",3,"08","19"
"62","2 am","0.0","8.6","311","13.9","82.9","96.6","13","27","53","25.74","0.00",3,"08","19"
"72","3 am","0.0","5.9","290","8.8","81.3","96.0","13","27","53","25.74","0.00",3,"08","19"
"82","4 am","0.0","4.5","268","9.4","80.7","95.4","15","28","53","25.74","0.00",3,"08","19"
"92","5 am","0.1","1.8","282","4.7","78.0","94.8","19","33","53","25.74","0.00",3,"08","19"
"102","6 am","3.8","3.8","277","5.1","76.5","94.3","20","32","53","25.76","0.00",3,"08","19"
"112","7 am","21.8","0.6","318","4.0","87.4","93.5","14","32","56","25.76","0.00",3,"08","19"
"122","8 am","40.3","1.3","165","6.5","92.3","92.9","11","30","57","25.77","0.00",3,"08","19"
