"","Hour of Day Ending at LST","Total Solar Rad  ly"," Wind Ave mph"," Wind V Dir Deg"," Wind Max mph","Air Temperature Mean Deg F","Soil Temperature Mean Deg F","Relative Humidity Mean Perent"," Dew Point Deg F"," Wet Bulb Deg F"," Baro Press in Hg"," Total Preip inhes","day","month","year"
"5","1 am","0.0","5.5","292","11.8","65.1","77.8","24","27","46","25.58","0.00",1,"06","19"
"6","2 am","0.0","4.3","275","6.9","62.1","77.1","27","27","45","25.56","0.00",1,"06","19"
"7","3 am","0.0","3.9","274","5.6","60.4","76.4","29","28","44","25.55","0.00",1,"06","19"
"8","4 am","0.0","3.2","286","4.5","58.2","75.8","31","28","44","25.55","0.00",1,"06","19"
"9","5 am","0.5","2.4","285","4.8","56.1","75.1","34","28","43","25.56","0.00",1,"06","19"
"10","6 am","8.5","2.1","295","4.1","59.6","74.4","33","30","45","25.57","0.00",1,"06","19"
"11","7 am","29.2","2.5","84","8.3","69.7","73.7","21","28","49","25.59","0.00",1,"06","19"
"12","8 am","46.9","6.1","114","12.9","70.5","73.1","21","29","49","25.60","0.00",1,"06","19"
"13","9 am","62.9","8.2","119","17.6","70.7","72.7","22","30","50","25.61","0.00",1,"06","19"
"14","10 am","75.6","9.0","123","17.0","71.6","72.5","19","27","49","25.62","0.00",1,"06","19"
"15","11 am","83.6","8.6","126","18.3","73.1","72.5","16","24","49","25.62","0.00",1,"06","19"
"16","12 pm","86.0","6.9","119","18.6","74.2","72.8","15","24","49","25.61","0.00",1,"06","19"
"17","1 pm","84.0","8.4","118","19.4","75.7","73.4","16","26","51","25.60","0.00",1,"06","19"
"18","2 pm","78.2","8.1","115","18.3","76.5","74.5","15","25","50","25.59","0.00",1,"06","19"
"19","3 pm","67.6","9.1","120","21.7","76.7","75.8","16","26","51","25.57","0.00",1,"06","19"
"20","4 pm","52.8","8.5","117","25.7","76.5","77.2","15","26","51","25.55","0.00",1,"06","19"
"21","5 pm","36.0","6.5","144","18.9","76.9","78.5","15","25","51","25.54","0.00",1,"06","19"
"22","6 pm","15.5","7.3","119","15.5","74.6","79.6","15","23","49","25.54","0.00",1,"06","19"
"23","7 pm","0.9","4.9","107","15.3","70.2","80.4","15","21","47","25.55","0.00",1,"06","19"
"24","8 pm","0.0","1.6","79","5.0","67.2","80.7","18","22","46","25.56","0.00",1,"06","19"
"25","9 pm","0.0","0.8","282","2.5","63.1","80.7","22","24","44","25.57","0.00",1,"06","19"
"26","10 pm","0.0","2.1","279","4.5","62.4","80.4","23","24","44","25.58","0.00",1,"06","19"
"27","11 pm","0.0","4.0","285","12.9","62.2","79.9","21","22","44","25.58","0.00",1,"06","19"
"28","12 am","0.0","9.6","316","15.6","66.8","79.2","22","27","47","25.57","0.00",1,"06","19"
"51","1 am","0.0","11.6","310","16.7","65.7","78.6","28","32","48","25.56","0.00",2,"06","19"
"61","2 am","0.0","10.2","309","15.3","65.5","77.9","30","33","48","25.55","0.00",2,"06","19"
"71","3 am","0.0","8.6","311","12.0","64.8","77.3","30","33","48","25.54","0.00",2,"06","19"
"81","4 am","0.0","7.3","319","12.9","64.7","76.6","29","32","48","25.54","0.00",2,"06","19"
"91","5 am","0.5","2.5","278","6.8","62.5","76.1","31","31","47","25.55","0.00",2,"06","19"
"101","6 am","8.5","1.4","113","5.1","62.6","75.5","32","32","47","25.57","0.00",2,"06","19"
"111","7 am","29.2","4.0","101","9.2","69.0","74.8","26","32","50","25.59","0.00",2,"06","19"
"121","8 am","46.6","5.7","102","11.5","70.6","74.3","22","30","49","25.61","0.00",2,"06","19"
"131","9 am","62.2","6.4","109","13.5","71.3","73.9","23","32","50","25.62","0.00",2,"06","19"
"141","10 am","74.4","6.8","123","14.2","71.8","73.7","25","34","51","25.63","0.00",2,"06","19"
"151","11 am","82.1","6.4","137","16.9","73.1","73.7","24","34","52","25.63","0.00",2,"06","19"
"161","12 pm","85.1","5.8","150","20.2","74.8","74.0","22","33","52","25.63","0.00",2,"06","19"
"171","1 pm","83.5","4.7","171","14.8","75.1","74.5","20","31","52","25.62","0.00",2,"06","19"
"181","2 pm","78.1","5.8","119","18.1","76.4","75.5","17","29","51","25.61","0.00",2,"06","19"
"191","3 pm","64.0","5.9","132","15.9","76.6","76.8","15","26","51","25.60","0.00",2,"06","19"
"201","4 pm","53.1","5.9","124","18.6","77.1","78.1","15","25","51","25.59","0.00",2,"06","19"
"211","5 pm","36.1","5.3","115","12.9","76.6","79.4","15","25","51","25.58","0.00",2,"06","19"
"221","6 pm","15.7","4.7","128","14.9","74.7","80.4","17","26","50","25.58","0.00",2,"06","19"
"231","7 pm","1.0","1.8","145","9.3","71.0","81.2","17","25","48","25.59","0.00",2,"06","19"
"241","8 pm","0.0","1.4","79","5.6","67.8","81.6","19","24","47","25.59","0.00",2,"06","19"
"251","9 pm","0.0","1.7","286","3.7","65.6","81.6","22","25","46","25.60","0.00",2,"06","19"
"261","10 pm","0.0","2.0","277","4.2","63.8","81.3","25","27","46","25.61","0.00",2,"06","19"
"271","11 pm","0.0","2.4","284","4.4","63.2","80.8","25","27","45","25.61","0.00",2,"06","19"
"281","12 am","0.0","4.2","277","6.3","62.8","80.2","28","29","46","25.60","0.00",2,"06","19"
"52","1 am","0.0","4.3","272","6.2","62.4","79.5","30","30","46","25.60","0.00",3,"06","19"
"62","2 am","0.0","5.3","284","8.0","63.7","78.8","28","30","47","25.59","0.00",3,"06","19"
"72","3 am","0.0","4.8","276","7.2","65.0","78.1","27","30","47","25.59","0.00",3,"06","19"
"82","4 am","0.0","4.4","276","5.7","61.4","77.5","29","29","45","25.59","0.00",3,"06","19"
"92","5 am","0.5","4.3","277","6.1","58.8","76.8","32","29","44","25.60","0.00",3,"06","19"
"102","6 am","8.4","3.4","285","5.1","63.2","76.2","30","31","47","25.61","0.00",3,"06","19"
"112","7 am","29.2","2.4","56","5.1","73.7","75.5","20","30","51","25.63","0.00",3,"06","19"
"122","8 am","46.7","3.2","98","10.0","75.7","74.9","17","27","51","25.64","0.00",3,"06","19"
"132","9 am","62.3","6.8","120","14.9","76.0","74.5","17","28","51","25.65","0.00",3,"06","19"
"142","10 am","76.6","5.3","115","14.3","77.3","74.3","16","28","52","25.66","0.00",3,"06","19"
"152","11 am","71.3","4.5","184","16.4","78.0","74.3","16","29","52","25.66","0.00",3,"06","19"
"162","12 pm","88.0","4.7","193","14.1","78.8","74.6","15","28","52","25.66","0.00",3,"06","19"
"172","1 pm","50.2","4.9","152","16.1","78.5","75.2","15","27","52","25.65","0.00",3,"06","19"
"182","2 pm","68.8","6.3","124","16.5","80.6","76.1","13","26","52","25.64","0.00",3,"06","19"
"192","3 pm","68.3","6.0","126","17.3","81.6","77.2","12","25","52","25.62","0.00",3,"06","19"
"202","4 pm","35.0","4.1","97","12.5","81.0","78.3","12","24","52","25.61","0.00",3,"06","19"
"212","5 pm","8.2","2.5","294","8.4","79.1","79.4","13","23","51","25.61","0.00",3,"06","19"
"222","6 pm","5.1","2.9","208","8.9","77.7","80.3","14","24","51","25.60","0.00",3,"06","19"
"232","7 pm","1.2","1.8","111","10.9","75.6","80.8","15","25","50","25.61","0.00",3,"06","19"
"242","8 pm","0.0","1.2","298","4.5","70.8","81.1","19","27","49","25.62","0.00",3,"06","19"
"252","9 pm","0.0","3.1","283","5.3","68.1","81.0","22","27","48","25.64","0.00",3,"06","19"
"262","10 pm","0.0","3.4","276","5.6","64.0","80.8","25","28","46","25.65","0.00",3,"06","19"
"272","11 pm","0.0","4.6","272","5.9","67.1","80.3","23","28","47","25.64","0.00",3,"06","19"
"282","12 am","0.0","4.8","274","6.5","66.6","79.8","22","26","47","25.64","0.00",3,"06","19"
"53","1 am","0.0","4.2","285","6.1","68.8","79.2","19","25","47","25.63","0.00",4,"06","19"
