date,Hour,survey,Total.Solar.Rad..ly,X.Wind.Ave.mph,Air.Temperature.Mean.Deg.F,Relative.Humidity.Mean.Perent
5/1/2019,10,1,72.4,8.9,58.9,35
5/1/2019,14,2,75.6,3.8,67.3,27
5/1/2019,16,3,42.2,5,67,26
5/2/2019,6,4,5.9,3,52.2,43
5/2/2019,8,5,38.5,2.6,64.5,22
5/2/2019,10,6,70.9,4.9,67.3,20
5/2/2019,14,7,67.9,4.7,71.2,19
5/3/2019,6,8,6.2,4.5,54.6,40
5/3/2019,8,9,43.6,2.5,71.2,17
5/3/2019,16,10,49.7,5,76.1,12
5/4/2019,6,11,6.4,4.4,63.9,19
5/4/2019,8,12,43.8,2.7,73.5,16
5/5/2019,16,13,51.4,5.4,74.9,9
5/5/2019,18,14,9.5,6.1,71.9,11
5/6/2019,6,15,6.7,16.6,50.3,61
5/6/2019,8,16,43.9,10.1,56.1,48
5/6/2019,16,17,53.6,4.8,66.5,23
5/7/2019,8,18,43.8,3.5,59.9,41
5/7/2019,10,19,72.7,4,64.6,32
5/7/2019,12,20,83.5,5.9,67.5,29
5/8/2019,9,21,60,7.3,67.1,33
5/8/2019,11,22,81.2,6.4,70.5,29
5/9/2019,12,23,83,13,67.1,35
5/9/2019,14,24,59.6,12.9,67.8,34
5/10/2019,12,25,9.9,9.2,58,52
5/10/2019,14,26,51.2,3.6,61.1,57
8/14/2019,17,27,33.7,3.6,94.8,7
8/15/2019,9,28,57.4,3.2,94.3,7
8/15/2019,18,29,10.6,3.3,93.7,6
8/16/2019,7,30,22,5.9,85.8,11
8/16/2019,18,31,10.1,4.3,92.6,8
8/17/2019,7,32,22,1.7,85.2,11
8/17/2019,17,33,32.8,3.9,91.2,7
8/18/2019,6,34,4,3.4,68.6,18
8/18/2019,18,35,9.3,7.9,85.8,10
8/19/2019,6,36,3.4,3.7,71.7,21
8/19/2019,18,37,8.5,3.1,87,10
8/20/2019,7,38,21.4,8,80.2,14
8/20/2019,17,39,32.1,4.9,93.4,7
8/21/2019,6,40,2.8,5.7,79.3,12
8/21/2019,17,41,31.1,4.5,95.1,6
8/22/2019,6,42,2.9,3.2,75,9
8/22/2019,18,43,7.4,6.9,90,8
8/23/2019,7,44,19.2,2.4,75,37
8/23/2019,18,45,5.6,5.4,84,20
8/24/2019,7,46,18.7,2.5,74.6,40
8/24/2019,17,47,27.6,4.6,86.4,28
