transect,year,transect_start_lat,transect_start_long,transect_end_lat,transect_end_long,meter,cactus_id,cactus_number,species,distance_meters,x,y,z,primary,secondary,tertiary,quaternary,health_index,lat,long,species_letter
1,2018,34.78286,115.66251,34.78203,115.66281,0,1a,1,Cylindropuntia anthrocarpa,1.67,0.8,0.7,1.1,7,4,4,4,5,34.78286,115.66254,a
1,2018,34.78286,115.66251,34.78203,115.66281,5,2a,2,Cylindropuntia anthrocarpa,0,0.45,0.8,0.85,5,4,4,1,5,34.78283,115.66254,a
1,2018,34.78286,115.66251,34.78203,115.66281,10,3a,3,Cylindropuntia anthrocarpa,0.2,0.25,0.3,0.45,3,4,0,0,5,34.78275,115.66255,a
1,2018,34.78286,115.66251,34.78203,115.66281,15,4a,4,Cylindropuntia anthrocarpa,2.19,0.72,0.55,0.75,10,6,2,3,1,34.7827,115.66258,a
1,2018,34.78286,115.66251,34.78203,115.66281,20,5a,5,Cylindropuntia anthrocarpa,0,2.1,1.5,1,6,3,3,3,1,34.78265,115.66257,a
1,2018,34.78286,115.66251,34.78203,115.66281,25,6a,6,Cylindropuntia anthrocarpa,2.02,1,1.1,1.4,2,4,5,3,5,34.78262,115.66257,a
1,2018,34.78286,115.66251,34.78203,115.66281,30,7a,7,Cylindropuntia anthrocarpa,2.61,0.4,0.3,1.1,1,2,2,2,5,34.78262,115.66261,a
1,2018,34.78286,115.66251,34.78203,115.66281,35,8a,8,Cylindropuntia anthrocarpa,3.92,0.5,0.3,0.7,1,3,1,0,4,34.78255,115.66258,a
1,2018,34.78286,115.66251,34.78203,115.66281,40,9a,9,Cylindropuntia anthrocarpa,1.96,0.1,0.1,0.5,1,3,1,0,4,34.78251,115.66262,a
1,2018,34.78286,115.66251,34.78203,115.66281,45,10a,10,Cylindropuntia anthrocarpa,1.96,0.8,1.1,1.2,3,2,4,3,4,34.78244,115.66262,a
1,2018,34.78286,115.66251,34.78203,115.66281,50,11a,11,Cylindropuntia anthrocarpa,2.27,0.15,0.2,0.6,1,2,2,0,4,34.78242,115.66269,a
1,2018,34.78286,115.66251,34.78203,115.66281,55,12a,12,Cylindropuntia anthrocarpa,3.93,0.7,0.6,1,1,3,6,4,5,34.78238,115.6627,a
1,2018,34.78286,115.66251,34.78203,115.66281,60,13a,13,Cylindropuntia anthrocarpa,1.56,0.4,0.45,0.55,1,2,3,1,5,34.78234,115.66269,a
1,2018,34.78286,115.66251,34.78203,115.66281,65,14a,14,Cylindropuntia anthrocarpa,1.18,0.15,0.1,0.5,1,2,2,0,3,34.78231,115.66272,a
1,2018,34.78286,115.66251,34.78203,115.66281,70,15a,15,Cylindropuntia anthrocarpa,2.09,1.1,1.4,1.3,3,5,5,2,3,34.78229,115.66272,a
