transect,transect_start_lat,transect_start_long,transect_end_lat,transect_end_long,meter,cactus_id,species,distance_meters,x,y,z,primary,secondary,tertiary,quaternary,health_index,lat,long
1,34.78407,-115.66013,check,check,0,1,Cylindropuntia echinocarpa,0.59,0.17,0.15,0.35,2,2,4,12,5,34.7828,-115.66255
1,34.78407,-115.66013,check,check,5,2,Cylindropuntia echinocarpa,2.32,0.57,0.54,0.44,2,4,5,18,4,34.78278,-115.66254
1,34.78407,-115.66013,check,check,10,3,Cylindropuntia echinocarpa,6.27,0.17,0.24,0.66,1,2,2,6,4,34.78277,-115.6626
1,34.78407,-115.66013,check,check,20,4,Cylindropuntia echinocarpa,7.82,0.59,0.39,0.63,3,2,3,6,3,34.78265,-115.66269
1,34.78407,-115.66013,check,check,25,5,Cylindropuntia echinocarpa,5.7,0.47,0.61,0.59,2,3,2,24,2,34.78259,-115.66267
1,34.78407,-115.66013,check,check,30,6,Cylindropuntia echinocarpa,8.46,0.43,0.36,0.7,1,3,3,6,4,34.78251,-115.6627
1,34.78407,-115.66013,check,check,35,7,Cylindropuntia echinocarpa,4.61,0.42,0.45,0.8,1,3,4,10,4,34.78248,-115.66267
1,34.78407,-115.66013,check,check,40,8,Cylindropuntia echinocarpa,4.45,1.14,0.74,0.75,2,2,4,11,2,34.78246,-115.66259
1,34.78407,-115.66013,check,check,55,9,Cylindropuntia echinocarpa,8,0.73,0.67,0.75,3,4,4,5,4,34.78229,-115.66267
1,34.78407,-115.66013,check,check,60,10,Cylindropuntia echinocarpa,5.78,0.47,0.41,0.57,2,3,3,5,2,34.78228,-115.66277
1,34.78407,-115.66013,check,check,80,11,Cylindropuntia echinocarpa,7.62,0.44,0.36,0.67,2,3,3,6,3,34.78209,-115.6627
1,34.78407,-115.66013,check,check,85,12,Cylindropuntia echinocarpa,7.48,0.57,0.64,0.66,3,2,3,10,2,34.78207,-115.66283
1,34.78407,-115.66013,check,check,90,13,Cylindropuntia echinocarpa,2.25,0.99,0.39,0.77,2,2,2,2,1,34.782,-115.66283
1,34.78407,-115.66013,check,check,95,14,Cylindropuntia echinocarpa,2.04,0.29,0.32,0.49,1,3,2,5,5,34.78199,-115.66283
1,34.78407,-115.66013,check,check,100,15,Cylindropuntia echinocarpa,0.84,0.29,0.36,0.44,3,2,3,9,3,34.78193,-115.66285
2,34.78287,-115.66257,34.78202,115.66295,15,16,Cylindropuntia echinocarpa,2.04,0.3,0.22,0.37,2,2,3,4,5,34.78275,-115.66267
2,34.78287,-115.66257,34.78202,115.66295,20,17,Cylindropuntia echinocarpa,4.28,0.36,0.43,0.38,2,3,4,5,5,34.7827,-115.6627
2,34.78287,-115.66257,34.78202,115.66295,25,18,Cylindropuntia echinocarpa,3.23,0.53,0.42,0.65,2,2,2,2,1,34.78268,-115.66267
2,34.78287,-115.66257,34.78202,115.66295,30,19,Cylindropuntia echinocarpa,3.89,0.14,0.12,0.39,1,1,2,3,5,34.78262,-115.66267
2,34.78287,-115.66257,34.78202,115.66295,35,20,Cylindropuntia echinocarpa,5.9,0.38,0.35,0.68,1,2,3,7,4,34.78252,-115.66282
2,34.78287,-115.66257,34.78202,115.66295,65,21,Cylindropuntia echinocarpa,7.02,0.42,0.38,0.65,2,2,4,7,3,34.7823,-115.66276
2,34.78287,-115.66257,34.78202,115.66295,70,22,Cylindropuntia echinocarpa,3.23,0.29,0.2,0.5,1,2,3,3,1,34.78231,-115.66283
2,34.78287,-115.66257,34.78202,115.66295,75,23,Cylindropuntia echinocarpa,1.73,0.29,0.22,0.29,1,2,4,4,1,34.78225,-115.66288
2,34.78287,-115.66257,34.78202,115.66295,80,24,Cylindropuntia echinocarpa,3.98,0.4,0.31,0.59,1,2,2,3,1,34.78219,-115.66292
3,34.78294,-115.6628,34.78219,115.66315,15,25,Cylindropuntia echinocarpa,8.5,0.15,0.28,0.45,1,2,4,3,2,34.78276,-115.66279
3,34.78294,-115.6628,34.78219,115.66315,30,26,Cylindropuntia echinocarpa,4.04,0.3,0.42,0.33,1,2,2,3,5,34.7827,-115.66288
3,34.78294,-115.6628,34.78219,115.66315,35,27,Cylindropuntia echinocarpa,4.52,0.4,0.4,0.7,1,3,3,3,4,34.78266,-115.66298
3,34.78294,-115.6628,34.78219,115.66315,70,28,Cylindropuntia echinocarpa,5.21,0.56,0.52,0.77,2,3,6,4,4,34.78236,-115.66301
3,34.78294,-115.6628,34.78219,115.66315,75,29,Cylindropuntia echinocarpa,1.81,0.17,0.12,0.28,1,2,4,0,1,34.78231,-115.66312
3,34.78294,-115.6628,34.78219,115.66315,90,30,Cylindropuntia echinocarpa,6.74,0.67,0.49,0.61,1,3,3,2,2,34.78212,-115.66309
3,34.78294,-115.6628,34.78219,115.66315,95,31,Cylindropuntia echinocarpa,5.32,0.92,1.11,0.64,1,3,2,5,3,34.78212,-115.66318
3,34.78294,-115.6628,34.78219,115.66315,100,32,Cylindropuntia echinocarpa,3.86,0.21,0.38,0.54,1,2,7,5,4,34.78206,-115.66312
4,34.78304,-115.66308,34.78217,115.66346,0,33,Cylindropuntia echinocarpa,11.4,0.27,0.62,0.83,1,2,2,11,2,34.78206,-115.66312
4,34.78304,-115.66308,34.78217,115.66346,5,34,Cylindropuntia echinocarpa,1.55,0.24,0.25,0.46,1,3,2,3,5,34.78299,-115.6631
4,34.78304,-115.66308,34.78217,115.66346,20,35,Cylindropuntia echinocarpa,5.46,0.51,0.98,0.69,3,2,5,5,5,34.78283,-115.66315
