tag,weight,fruit_x,fruit_y,fruit_z,color,condition
302,3.97,20,20,25,grey,dessicated
302,3.75,20,20,25,grey,dessicated
302,3.52,20,20,25,grey,dessicated
302,3.44,20,20,25,grey,dessicated
302,3.07,20,20,25,grey,dessicated
302,2.69,20,20,25,grey,dessicated
302,2.47,15,15,20,grey,dessicated
302,2.11,15,15,25,grey,dessicated
302,1.97,15,15,25,grey,dessicated
302,0.92,10,10,25,grey,dessicated
303,3.28,20,20,30,grey,dessicated
303,2.72,20,20,20,grey,dessicated
303,2.39,15,15,20,grey,dessicated
303,2.21,20,15,25,grey,dessicated
303,2.18,15,15,20,grey,dessicated
303,2.04,15,15,15,grey,dessicated
303,2.01,15,15,15,grey,dessicated
303,1.78,10,10,15,grey,dessicated
303,1.66,15,15,15,grey,dessicated
303,1.58,20,15,15,grey,dessicated
304,3.68,20,20,25,grey,dessicated
304,3.57,20,20,25,grey,dessicated
304,3.27,20,20,25,grey,dessicated
304,3.13,20,20,20,grey,dessicated
304,3.06,15,15,20,grey,dessicated
304,2.94,20,20,20,grey,dessicated
304,2.44,15,15,20,grey,dessicated
304,2.44,20,20,20,grey,dessicated
304,2.08,15,15,20,grey,dessicated
304,1.29,15,15,15,grey,dessicated
305,3.34,15,15,15,grey,dessicated
305,2.77,15,15,20,grey,dessicated
305,2.05,15,15,15,grey,dessicated
305,1.93,15,15,15,grey,dessicated
305,1.65,15,15,15,grey,dessicated
305,1.47,15,15,15,grey,dessicated
305,1.44,15,15,15,grey,dessicated
305,1.33,15,15,15,grey,dessicated
305,1.05,10,10,10,grey,dessicated
305,0.81,15,15,15,grey,dessicated
306,3.66,20,20,20,grey,dessicated
306,3.62,20,20,20,grey,dessicated
306,3.5,20,15,25,grey,dessicated
306,3.15,20,20,20,grey,dessicated
306,3.11,15,15,15,grey,dessicated
306,3.02,20,20,20,grey,dessicated
306,2.86,20,15,20,grey,dessicated
306,2.66,20,20,20,grey,dessicated
306,2.54,20,20,20,grey,dessicated
306,1.61,15,15,15,yellow,ripe
307,4.26,20,20,20,grey,dessicated
307,4.09,20,20,20,grey,dessicated
307,4.08,20,20,25,grey,dessicated
307,3.99,20,20,20,grey,dessicated
307,3.82,20,20,25,grey,dessicated
307,3.6,20,20,20,grey,dessicated
307,2.78,15,15,20,grey,dessicated
307,2.48,15,15,20,grey,dessicated
307,0.7,10,10,15,grey,dessicated
307,2.36,20,20,25,brown,ripe
308,4.3,20,15,20,grey,dessicated
308,4.27,20,20,20,grey,dessicated
308,4.23,15,15,25,grey,dessicated
308,3.93,20,20,20,grey,dessicated
308,3.56,20,20,20,grey,dessicated
308,3.53,15,15,20,grey,dessicated
308,3.41,15,15,15,grey,dessicated
308,3.27,15,15,20,grey,dessicated
308,2.97,20,20,20,grey,dessicated
308,2.25,15,15,15,grey,dessicated
309,7.7,20,20,20,grey,dessicated
309,5.7,20,20,30,grey,dessicated
309,4.69,20,20,20,grey,dessicated
309,4.53,20,20,20,grey,dessicated
309,4.5,20,20,20,grey,dessicated
309,4.48,20,20,20,grey,dessicated
309,4.18,20,20,20,grey,dessicated
309,3.71,20,20,20,grey,dessicated
309,3.61,20,20,20,grey,dessicated
309,3.32,20,20,20,grey,dessicated
310,3.07,15,15,20,grey,dessicated
310,2.6,15,10,20,grey,dessicated
310,2.46,15,15,15,grey,dessicated
310,1.89,10,10,15,grey,dessicated
310,1.63,10,10,15,grey,dessicated
310,1.18,10,10,20,grey,dessicated
310,1.06,10,10,15,grey,dessicated
310,0.98,15,15,15,grey,dessicated
310,0.88,10,10,10,grey,dessicated
310,0.88,10,10,15,grey,dessicated
311,6.13,20,20,25,grey,dessicated
311,6.01,20,20,20,grey,dessicated
311,5.4,20,20,20,grey,dessicated
311,4.6,20,20,15,grey,dessicated
311,4.57,20,20,20,grey,dessicated
311,4.5,20,20,20,grey,dessicated
311,4.3,15,15,15,grey,dessicated
311,1.47,15,15,15,grey,dessicated
311,1.36,15,15,15,grey,dessicated
311,1.3,15,15,15,grey,dessicated
313,2.68,15,15,15,grey,dessicated
313,2.21,15,15,15,grey,dessicated
313,2.1,15,15,15,grey,dessicated
313,1.86,15,15,15,grey,dessicated
313,1.83,15,15,15,grey,dessicated
313,1.8,15,15,15,grey,dessicated
313,1.59,15,15,15,grey,dessicated
313,1.55,15,15,15,grey,dessicated
313,1.5,15,15,15,grey,dessicated
313,1.48,10,10,15,grey,dessicated
314,3.82,20,20,20,grey,dessicated
314,3.35,20,20,20,grey,dessicated
314,3.22,15,15,20,grey,dessicated
314,3.21,20,20,20,grey,dessicated
314,2.73,20,20,20,grey,dessicated
314,2.65,15,15,20,grey,dessicated
314,2.54,20,20,20,grey,dessicated
314,2.26,15,15,15,grey,dessicated
314,2.25,15,15,20,grey,dessicated
314,2.03,15,15,15,grey,dessicated
316,5.08,20,20,20,black,dessicated
316,3.54,20,20,25,grey,dessicated
316,3.18,15,15,20,grey,dessicated
316,2.26,15,15,20,grey,dessicated
316,1.74,15,15,15,grey,dessicated
316,1.43,15,15,15,grey,dessicated
316,0.97,15,15,20,grey,dessicated
317,5.2,20,20,25,grey,dessicated
317,4.72,20,20,20,grey,dessicated
317,4.49,20,20,20,grey,dessicated
317,3.73,20,20,20,grey,dessicated
317,3.63,20,20,20,grey,dessicated
317,3.19,20,20,20,grey,dessicated
317,8.19,20,20,20,yellow green,ripe
317,7.26,20,20,20,yellow green,ripe
317,6.95,25,25,25,yellow green,ripe
317,2.27,15,15,15,yellow green,ripe
318,4.97,20,20,25,grey,dessicated
318,4.44,20,20,25,grey,dessicated
318,4.42,20,20,20,grey,dessicated
318,4.26,20,20,20,grey,dessicated
318,4.23,20,15,25,grey,dessicated
318,4.23,20,20,20,grey,dessicated
318,4.17,20,20,20,grey,dessicated
318,4.16,20,15,20,grey,dessicated
318,2.89,20,15,20,grey,dessicated
318,1.54,15,10,25,grey,dessicated
319,3.33,20,20,20,grey,dessicated
319,3.29,20,15,20,grey,dessicated
319,2.98,20,20,20,grey,dessicated
319,1.35,15,15,15,grey,dessicated
319,1.25,15,15,15,grey,dessicated
319,1.17,10,10,15,grey,dessicated
319,0.9,10,10,15,grey,dessicated
319,0.8,15,10,15,grey,dessicated
319,0.77,10,10,15,grey,dessicated
319,0.74,15,10,15,grey,dessicated
321,3.84,20,20,25,grey,dessicated
321,3.37,20,20,20,grey,dessicated
321,3.12,20,20,20,grey,dessicated
321,3.03,20,20,25,grey,dessicated
321,2.76,20,20,25,grey,dessicated
321,2.59,15,15,20,grey,dessicated
321,2.52,15,15,20,grey,dessicated
321,2.4,15,15,20,grey,dessicated
321,1.35,15,15,25,grey,dessicated
