rep,year,date,mdy,season,day,survey,microhabitat,family,species,migratory_class,guild,behavior_simple
1,2019,2019-08-14,8.14.17,summer,14,27,cactus,unknown,Unknown Passerine,unknown,unknown,mating behaviors
2,2019,2019-08-14,8.14.17,summer,14,27,open,Troglodytidae,Cactus Wren,resident,omnivore,movement
3,2019,2019-05-01,5.1.10,spring,1,1,open,Ptiliogonatidae,Phainopepla,resident,frugivore,movement
3,2019,2019-08-14,8.14.17,summer,14,27,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,movement
4,2019,2019-08-14,8.14.17,summer,14,27,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,movement
4,2019,2019-05-01,5.1.10,spring,1,1,open,Columbidae,Mourning Dove,resident,granivore,perching
5,2019,2019-05-01,5.1.10,spring,1,1,cactus,Ptiliogonatidae,Phainopepla,resident,frugivore,movement
5,2019,2019-08-14,8.14.17,summer,14,27,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,perching
6,2019,2019-08-14,8.14.17,summer,14,27,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,movement
6,2019,2019-05-01,5.1.10,spring,1,1,cactus,Ptiliogonatidae,Phainopepla,resident,frugivore,mating behaviors
7,2019,2019-05-01,5.1.10,spring,1,1,cactus,Fringillidae,House Finch,resident,frugivore,perching
8,2019,2019-05-01,5.1.10,spring,1,1,open,Unknown,Unknown,unknown,Unknown,movement
8,2019,2019-08-14,8.14.17,summer,14,27,shrub,Tyrannidae,Western Kingbird,summer resident,insectivore,cleaning
9,2019,2019-05-01,5.1.10,spring,1,1,open,Hirundinidae,Violet.green Swallow,summer resident,insectivore,movement
9,2019,2019-08-14,8.14.17,summer,14,27,open,Passerellidae,Black.throated Sparrow,resident,granivore,perching
10,2019,2019-08-14,8.14.17,summer,14,27,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
11,2019,2019-05-01,5.1.10,spring,1,1,shrub,Unknown,Unknown,unknown,Unknown,movement
11,2019,2019-08-14,8.14.17,summer,14,27,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
12,2019,2019-05-01,5.1.10,spring,1,1,shrub,Ptiliogonatidae,Phainopepla,resident,frugivore,perching
12,2019,2019-08-14,8.14.17,summer,14,27,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
13,2019,2019-05-01,5.1.10,spring,1,1,cactus,Trochilidae,Unknown Hummingbird,summer resident,nectarivore,feeding
13,2019,2019-08-14,8.14.17,summer,14,27,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
14,2019,2019-05-01,5.1.10,spring,1,1,shrub,Mimidae,Northern Mockingbird,resident,frugivore,perching
14,2019,2019-08-14,8.14.17,summer,14,27,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
15,2019,2019-08-15,8.15.9,summer,15,28,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,movement
15,2019,2019-05-01,5.1.10,spring,1,1,open,Unknown,Unknown,unknown,Unknown,perching
16,2019,2019-05-01,5.1.10,spring,1,1,shrub,Ptiliogonatidae,Phainopepla,resident,frugivore,movement
16,2019,2019-08-15,8.15.9,summer,15,28,open,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
17,2019,2019-05-01,5.1.10,spring,1,1,cactus,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
17,2019,2019-08-15,8.15.9,summer,15,28,open,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
18,2019,2019-05-01,5.1.10,spring,1,1,open,Columbidae,Mourning Dove,resident,granivore,mating behaviors
18,2019,2019-08-15,8.15.9,summer,15,28,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,mating behaviors
19,2019,2019-08-15,8.15.9,summer,15,28,open,Tyrannidae,Ash.throated Flycatcher,summer resident,insectivore,movement
20,2019,2019-08-15,8.15.9,summer,15,28,open,Laniidae,Loggerhead Shrike,resident,carnivore,movement
21,2019,2019-05-01,5.1.10,spring,1,1,open,Columbidae,Mourning Dove,resident,granivore,movement
21,2019,2019-08-15,8.15.9,summer,15,28,shrub,Passerellidae,Black.throated Sparrow,resident,granivore,perching
23,2019,2019-05-01,5.1.10,spring,1,1,cactus,Mimidae,Northern Mockingbird,resident,omnivore,mating behaviors
24,2019,2019-05-01,5.1.10,spring,1,1,shrub,Polioptilidae,Blue.gray Gnatcatcher,summer resident,insectivore,mating behaviors
