cactus_id,year,date,treatment,treatment_levels,treatment_hts,pollination_events
1,2019,5/15/2019,mimic,mimic,thirty,3
2,2019,5/15/2019,mimic,mimic,pole,0
3,2019,5/15/2019,mimic,mimic,zero,0
4,2019,5/15/2019,mimic,mimic,fifteen,0
5,2019,5/16/2019,mimic,mimic,thirty,1
6,2019,5/16/2019,mimic,mimic,fifteen,1
7,2019,5/16/2019,mimic,mimic,zero,3
8,2019,5/16/2019,mimic,mimic,pole,2
9,2019,5/17/2019,mimic,mimic,fifteen,1
10,2019,5/17/2019,mimic,mimic,thirty,0
11,2019,5/17/2019,mimic,mimic,pole,0
12,2019,5/17/2019,mimic,mimic,zero,0
13,2019,5/19/2019,mimic,mimic,pole,1
14,2019,5/19/2019,mimic,mimic,fifteen,0
15,2019,5/19/2019,mimic,mimic,zero,0
16,2019,5/19/2019,mimic,mimic,thirty,2
17,2019,5/20/2019,mimic,mimic,pole,0
18,2019,5/20/2019,mimic,mimic,zero,0
19,2019,5/20/2019,mimic,mimic,thirty,0
20,2019,5/20/2019,mimic,mimic,fifteen,0
21,2019,5/21/2019,mimic,mimic,pole,2
22,2019,5/21/2019,mimic,mimic,fifteen,0
23,2019,5/21/2019,mimic,mimic,zero,0
24,2019,5/21/2019,mimic,mimic,thirty,1
25,2019,5/23/2019,mimic,mimic,zero,0
26,2019,5/23/2019,mimic,mimic,thirty,5
27,2019,5/23/2019,mimic,mimic,fifteen,2
28,2019,5/23/2019,mimic,mimic,pole,0
29,2019,5/24/2019,mimic,mimic,pole,4
30,2019,5/24/2019,mimic,mimic,zero,0
31,2019,5/24/2019,mimic,mimic,thirty,0
32,2019,5/24/2019,mimic,mimic,fifteen,1
33,2019,5/25/2019,mimic,mimic,pole,0
34,2019,5/25/2019,mimic,mimic,fifteen,2
35,2019,5/25/2019,mimic,mimic,zero,0
36,2019,5/25/2019,mimic,mimic,thirty,0
37,2019,5/26/2019,mimic,mimic,thirty,0
38,2019,5/26/2019,mimic,mimic,zero,0
39,2019,5/26/2019,mimic,mimic,fifteen,1
40,2019,5/26/2019,mimic,mimic,pole,1
41,2019,5/27/2019,cacti,flower,pole,0
42,2019,5/28/2019,cacti,flower,zero,0
43,2019,5/28/2019,cacti,flower,fifteen,0
44,2019,5/28/2019,cacti,flower,thirty,0
45,2019,5/29/2019,cacti,flower,fifteen,0
46,2019,5/29/2019,cacti,flower,thirty,0
47,2019,5/29/2019,cacti,flower,zero,0
48,2019,5/30/2019,cacti,flower,thirty,0
49,2019,5/30/2019,cacti,flower,pole,4
50,2019,6/1/2019,cacti,flower,fifteen,0
51,2019,6/1/2019,cacti,flower,thirty,0
52,2019,6/1/2019,cacti,flower,zero,0
53,2019,6/1/2019,cacti,flower,pole,0
54,2019,6/2/2019,cacti,flower,thirty,0
55,2019,6/2/2019,cacti,flower,pole,2
56,2019,6/2/2019,cacti,flower,fifteen,0
57,2019,6/2/2019,cacti,flower,zero,0
58,2019,6/3/2019,cacti,flower,fifteen,0
59,2019,6/3/2019,cacti,flower,pole,0
60,2019,6/3/2019,cacti,flower,thirty,0
61,2019,6/3/2019,cacti,flower,zero,0
62,2019,6/4/2019,cacti,flower,pole,3
63,2019,6/4/2019,cacti,flower,fifteen,0
64,2019,6/4/2019,cacti,flower,zero,0
65,2019,6/4/2019,cacti,flower,pole,1
66,2019,6/5/2019,cacti,flower,pole,0
67,2019,6/5/2019,cacti,flower,fifteen,0
68,2019,6/5/2019,cacti,flower,zero,0
69,2019,6/5/2019,cacti,flower,thirty,0
70,2019,6/6/2019,cacti,flower,thirty,0
71,2019,6/6/2019,cacti,flower,zero,0
72,2019,6/6/2019,cacti,flower,pole,0
73,2019,6/6/2019,cacti,flower,fifteen,0
74,2019,6/7/2019,cacti,flower,pole,1
75,2019,6/7/2019,cacti,flower,zero,0
76,2019,6/7/2019,cacti,flower,fifteen,0
77,2019,6/7/2019,cacti,flower,thirty,0
78,2019,6/8/2019,cacti,flower,fifteen,0
79,2019,6/8/2019,cacti,flower,zero,0
80,2019,6/8/2019,cacti,flower,thirty,0
81,2019,6/8/2019,cacti,flower,pole,1
