bird_id,cactus_id,treatment,year,date,start_time,treatment,taxa,behavior,time,duration,latitude,longitude,x,y,z,volume,notes
1,1,mimic,2019,5/15/2019,10:05,thirty,Costas Hummingbird,Pollinating,10:12,35,34.78291,-115.66252,175,165,122,3522750,perched on nearby plants
2,1,mimic,2019,5/15/2019,10:05,thirty,Costas Hummingbird,Sparring,10:20,5,34.78291,-115.66252,175,165,122,3522750,first individual arrived slightly before sparring and was chased out
3,1,mimic,2019,5/15/2019,10:05,thirty,Costas Hummingbird,Sparring,10:20,5,34.78291,-115.66252,175,165,122,3522750,first individual arrived slightly before sparring and was chased out
4,1,mimic,2019,5/15/2019,10:05,thirty,Costas Hummingbird,Pollinating,10:23,15,34.78291,-115.66252,175,165,122,3522750,possibly repeat of 1
5,1,mimic,2019,5/15/2019,10:05,thirty,Annas Hummingbird,Pollinating,10:55,180,34.78291,-115.66252,175,165,122,3522750,
6,4,mimic,2019,5/15/2019,13:20,fifteen,Blue-gray Gnatcatcher,Flying,13:45,1,34.78254,-115.66252,190,114,114,2469240,flew over but did not land
7,5,mimic,2019,5/16/2019,7:05,thirty,Black-throated Sparrow,Sitting on Plant,7:24,5,34.78291,-115.66265,163,155,102,2577030,
8,5,mimic,2019,5/16/2019,7:05,thirty,Costas Hummingbird,Pollinating,7:25,10,34.78291,-115.66265,163,155,102,2577030,
9,5,mimic,2019,5/16/2019,7:05,thirty,Blue-gray Gnatcatcher,Calling,7:47,5,34.78291,-115.66265,163,155,102,2577030,
10,5,mimic,2019,5/16/2019,7:05,thirty,Blue-gray Gnatcatcher,Flying,7:49,1,34.78291,-115.66265,163,155,102,2577030,flew over but did not land
11,5,mimic,2019,5/16/2019,7:05,thirty,Blue-gray Gnatcatcher,Flying,7:58,1,34.78291,-115.66265,163,155,102,2577030,flew over but did not land
12,5,mimic,2019,5/16/2019,7:05,thirty,Blue-gray Gnatcatcher,Flying,8:00,1,34.78291,-115.66265,163,155,102,2577030,flew over but did not land
13,6,mimic,2019,5/16/2019,8:10,fifteen,Blue-gray Gnatcatcher,Flying,8:30,1,34.78276,-115.66293,43,38,35,57190,flew over but did not land
14,6,mimic,2019,5/16/2019,8:10,fifteen,Costas Hummingbird,Pollinating,8:35,35,34.78276,-115.66293,43,38,35,57190,
15,6,mimic,2019,5/16/2019,8:10,fifteen,Costas Hummingbird,Pollinating,8:39,10,34.78276,-115.66293,43,38,35,57190,
16,6,mimic,2019,5/16/2019,8:10,fifteen,Blue-gray Gnatcatcher,Flying,8:40,1,34.78276,-115.66293,43,38,35,57190,COHU chased out BGGN who did not land and COHU began territory display
17,6,mimic,2019,5/16/2019,8:10,fifteen,Costas Hummingbird,Sparring,8:40,1,34.78276,-115.66293,43,38,35,57190,COHU chased out BGGN who did not land and COHU began territory display
18,6,mimic,2019,5/16/2019,8:10,fifteen,Costas Hummingbird,Pollinating,8:41,5,34.78276,-115.66293,43,38,35,57190,
19,6,mimic,2019,5/16/2019,8:10,fifteen,Blue-gray Gnatcatcher,Flying,9:09,1,34.78276,-115.66293,43,38,35,57190,flew over but did not land
20,8,mimic,2019,5/16/2019,10:20,pole,Costas Hummingbird,Pollinating,10:35,35,34.78256,-115.66291,1,1,170,170,
21,8,mimic,2019,5/16/2019,10:20,pole,Annas Hummingbird,Pollinating,11:15,5,34.78256,-115.66291,1,1,170,170,
22,9,mimic,2019,5/17/2019,7:15,fifteen,Black-throated Sparrow,Fleeing,7:15,10,34.78273,-115.6629,71,41,59,171749,BTSP chased out by COHU who was previously foraging nearby
23,9,mimic,2019,5/17/2019,7:15,fifteen,Costas Hummingbird,Sparring,7:15,1,34.78273,-115.6629,71,41,59,171749,
24,9,mimic,2019,5/17/2019,7:15,fifteen,Annas Hummingbird,Pollinating,7:35,5,34.78273,-115.6629,71,41,59,171749,
25,10,mimic,2019,5/17/2019,8:35,thirty,Costas Hummingbird,Copulating,9:04,1,34.78245,-115.6634,48,49,41,96432,Male 25 chasing F 26 closely behind M calling may be copulating attempt or sparring
26,10,mimic,2019,5/17/2019,8:35,thirty,Costas Hummingbird,Copulating,9:04,1,34.78245,-115.6634,48,49,41,96432,Male 25 chasing F 26 closely behind M calling may be copulating attempt or sparring
27,13,mimic,2019,5/19/2019,7:35,pole,Costas Hummingbird,Pollinating,8:00,1,34.78276,-115.6631,1,1,64,64,
28,13,mimic,2019,5/19/2019,7:35,pole,Wilsons Warbler,Flying,8:15,1,34.78276,-115.6631,1,1,64,64,flew over but did not land
29,13,mimic,2019,5/19/2019,7:35,pole,Costas Hummingbird,Flying,8:16,1,34.78276,-115.6631,1,1,64,64,flew over but did not land
30,14,mimic,2019,5/19/2019,8:40,fifteen,Violet-green Swallow,Flying,8:59,1,34.78231,-115.66378,57,44,45,112860,flew over but did not land
31,16,mimic,2019,5/19/2019,10:50,thirty,Costas Hummingbird,Flying,10:50,1,34.78241,-115.66283,52,39,57,115596,flew over but did not land
32,16,mimic,2019,5/19/2019,10:50,thirty,Annas Hummingbird,Pollinating,10:51,15,34.78241,-115.66283,52,39,57,115596,
33,16,mimic,2019,5/19/2019,10:50,thirty,Costas Hummingbird,Pollinating,11:00,10,34.78241,-115.66283,52,39,57,115596,
34,18,mimic,2019,5/20/2019,9:20,zero,Says Phoebe,Flying,10:03,1,34.78257,-115.6629,54,50,45,121500,landed but only very briefly
35,19,mimic,2019,5/20/2019,10:25,thirty,Blue-gray Gnatcatcher,Flying,11:03,1,34.7824,-115.66286,57,47,37,99123,flew over but did not land
